S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2015,INFINITI Q70 4X2 V6,8737,JN1BY1AP7FM541683,SEWELL INFINITI,"$34,000","5135 Bryant Irvin Road, Fort Worth, TX 76132",(817) 439-7990,AUSTIN IFINITI INC,"$37,000",,,,,,
,,,,,INFINITI OF RIVERSIDE,"$33,500","3040 Adams St Riverside, CA 92504",(951) 373-5200,,,,,,,,
,,,,,PARK PLACE INFINITI,"$34,500","5555 W Sahara Ave Las Vegas, NV 89146",(702) 252-8100,,,,,,,,
,,,,,AUSTIN INFINITI INC,"$37,000","8140 Burnet Rd Austin, TX 78757",(512) 220-0920,,,"8140 Burnet Rd Austin, TX 78757",(512) 220-0920,,,,
2,2015,INFINITI QX70 4X2,11798,JN8CS1MUXFM381291,AUTONATION INFINITI,"$38,500","3233 Pacific Coast Hwy Torrance, CA 90505",(424) 245-0985,AUSTIN IFINITI INC,"$41,500","8140 Burnet Rd Austin, TX 78757",(512) 220-0920,,,,
,,,,,SEWELL INFINITI,"$37,500","5135 Bryant Irvin Road, Fort Worth, TX 76132",(817) 439-7990,,,,,,,,
,,,,,AUSTIN INFINITI INC,"$41,500","8140 Burnet Rd Austin, TX 78757",(512) 220-0920,,,,,,,,
,,,,,NISSAN INFINITI OF SAN FRANCISCO,"$40,500","1395 Van Ness Ave San Francisco, CA 94109",(877) 883-7091,,,,,,,,
3,2014,INFINITI QX80 4X2,11032,JN8AZ2NF4E9555835,SEWELL INFINITI,"$51,500","5135 Bryant Irvin Road, Fort Worth, TX 76132",(817) 439-7990,SEWELL INFINITI,"$51,500",,,,,,
,,,,,INFINITI OF GWINNETT,"$49,500","3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471,,,,,,,,
,,,,,NISSAN INFINITI OF SAN FRANCISCO,"$51,000","1395 Van Ness Ave San Francisco, CA 94109",(877) 883-7091,,,"5135 Bryant Irvin Road, Fort Worth, TX 76132",(817) 439-7990,,,,
4,2015,INFINITI Q50 4X2 V6 SPORT,10107,JN1BV7AP7FM344718,NISSAN INFINITI OF SAN FRANCISCO,"$34,250","1395 Van Ness Ave San Francisco, CA 94109",(877) 883-7091,NISSAN INFINITI OF SAN FRANCISCO,"$34,250","1395 Van Ness Ave San Francisco, CA 94109",(877) 883-7091,,,,
,,,,,INFINITI OF GWINNETT,"$31,500","3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471,,,,,,,,
5,2015,INFINITI QX80 4X2,97,JN8AZ2NF5F9574556,CREST INFINITI,"$55,500","2501 N Central Expy Plano, TX 75075",(469) 808-1880,NISSAN INFINITI OF SAN FRANCISCO,"$62,000","1395 Van Ness Ave San Francisco, CA 94109",(877) 883-7091,,,,
,,,,,SEWELL INFINITI,"$59,000","5135 Bryant Irvin Road, Fort Worth, TX 76132",(817) 439-7990,,,,,,,,
,,,,,AUSTIN IFINITI INC,"$59,500","8140 Burnet Rd Austin, TX 78757",(512) 220-0920,,,,,,,,
,,,,,NISSAN INFINITI OF SAN FRANCISCO,"$62,000","1395 Van Ness Ave San Francisco, CA 94109",(877) 883-7091,,,,,,,,
6,2015,INFINITI Q60 4X2 IPL,4434,JN1CV6FEXFM810017,INFINITI OF GWINNETT,"$38,500","3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471,INFINITI OF GWINNETT,"$38,500",,,,,,
,,,,,NISSAN OF MARIN,"$38,000","511 Francisco Blvd E San Rafael, CA 94901",(415) 755-9800,,,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471,,,,
7,2013,INFINITI G37 4X2 JOURNEY,20753,JN1CV6AP4DM713742,SC CAR ZONE,"$19,000","2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198,DRIVERS WAY LLC,"$21,750",,,,,,
,,,,,SEWELL INFINITI,"$19,250","5135 Bryant Irvin Road, Fort Worth, TX 76132",(817) 439-7990,,,,,,,,
,,,,,CREST NISSAN OF FRISCO,"$20,500","6600 State Hwy 121 Frisco, TX 75034",(855) 978-7941,,,,,,,,
,,,,,DRIVERS WAY LLC,"$21,750","100 Driver's Way Pelham, AL 35124",866-828-1900,,,"100 Driver's Way Pelham, AL 35124",866-828-1900,,,,
8,2015,INFINITI Q50 4X2 V6,6369,JN1BV7AP6FM338523,NISSAN OF MARIN,"$21,250","511 Francisco Blvd E San Rafael, CA 94901",(415) 755-9800,,,,,,,,
,,,,,SEWELL INFINITI,"$21,500","5135 Bryant Irvin Road, Fort Worth, TX 76132",(817) 439-7990,,,,,,,,
