S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2015,SCION TC,14247,JTKJF5C78FJ003216,,,,,PAUL BLANCOS GOOD CAR COMPANY SACRAMENTO,"$15,800 ","2200 Fulton Ave Sacramento, CA 95825",(916) 485-2277,,,,
2,2011,JEEP CHEROKEE 4X2 V6 ANNIVERSRY,69120,1J4RS4GG6BC658638,,,,,PAUL BLANCO'S GOOD CAR COMPANY FRESNO INC,"$15,700 ","4880 N Blackstone Ave Fresno, CA 93726",(559) 225-1100,,,,
3,2013,LEXUS ES 300H,20384,JTHBW1GGXD2009829,,,,,LEXUS OF CONCORD,"$27,000 ","2101 Market St Concord, CA 94520",(925) 682-3033,,,,
4,2010,GMC ACADIA FWD SL,66068,1GKLRKED8AJ131218,,,,,PAUL BLANCO'S GOOD CAR COMPANY STOCKTON,"$12,800 ","3190 Auto Center Cir Stockton, CA 95212",(209) 922-0800,,,,
5,2013,TOYOTA HIGHLNDR FWD V6 LIMITED,58069,5TDZK3EH4DS089849,KARMART VOLKSWAGEN OF,"$21,250 ","1725 Bouslog Rd Burlington, WA 98233",(360) 755-3700,KARMART VOLKSWAGEN OF,"$21,250 ","1725 Bouslog Rd Burlington, WA 98233",(360) 755-3700,,,,
6,2007,GMC YUKON 4X2 V8,78402,1GKFC13J47R236835,,,,,PAUL BLANCO'S GOOD CAR COMPANY,"$15,800 ","2200 Fulton Ave Sacramento, CA 95825",(916) 485-2277,,,,
7,2011,KIA SORENTO FWD 4C LX,57704,5XYKT3A17BG184343,,,,,PAUL BLANCO'S GOOD CAR COMPANY SACRAMENTO,"$11,800 ","2200 Fulton Ave Sacramento, CA 95825",(916) 485-2277,,,,
8,2010,GMC ACADIA FWD SLT1,76319,1GKLRMEDXAJ138067,,,,,WESTERN MOTORS/AIDE RENT A CAR,"$16,500 ",N/A,N/A,,,,
9,2010,VOLKSWAGEN TIGUAN FWD S,75766,WVGAV7AX6AW001335,,,,,PAUL BLANCO'S GOOD CAR COMPANY SACRAMENTO,"$12,000 ","2200 Fulton Ave Sacramento, CA 95825",(916) 485-2277,,,,
10,2011,GMC ACADIA FWD SL,87155,1GKKRNED6BJ399232,DRIVETIME,"$12,900 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,PAUL BLANCO'S GOOD CAR COMPANY STOCKTON,"$13,600 ","3190 Auto Center Cir Stockton, CA 95212",(209) 922-0800,,,,
11,2014,HONDA CR-V AWD LX,31780,5J6RM4H38EL086174,TOYOTA OF OLYMPIA,"$19,000 ","2225 Carriage Drive SW Olympia, WA 98502",(360) 539-3939,TOYOTA OF OLYMPIA,"$19,000 ","2225 Carriage Drive SW Olympia, WA 98502",(360) 539-3939,,,,
12,2011,JEEP CHEROKEE 4X2 V8 OVERLAND,63607,1J4RS6GT4BC611830,,,,,PAUL BLANCO'S GOOD CAR COMPANY,"$22,600 ","2200 Fulton Ave Sacramento, CA 95825",(916) 485-2277,,,,
13,2010,HONDA PILOT FWD EX-L,89066,5FNYF3H53AB014125,HONDA OF MARYSVILLE,"$16,900 ",NA,NA,HONDA OF MARYSVILLE,"$16,900 ",NA,NA,,,,
14,2012,FORD EXPLORER 4X4 V6 XLT,71497,1FMHK8D87CGA61431,,,,,PAUL BLANCO'S GOOD CAR COMPANY STOCKTON,"$20,100 ","3190 Auto Center Cir Stockton, CA 95212",(209) 922-0800,,,,
15,2013,CHEVROLET TRAVERSE FWD LT,69864,1GNKRGKD5DJ185337,,,,,WESTERN MOTORS/AIDE RENT A CAR,"$17,200 ",N/A,N/A,,,,
16,2011,HONDA PILOT FWD EX,57913,5FNYF3H47BB052448,POWAY HONDA,"$18,300 ","13747 Poway Rd Poway, CA 92064",(858) 486-4300,HONDA OF MARYSVILLE,"$18,400 ",NA,NA,,,,
,,,,,HONDA OF MARYSVILLE,"$18,400 ",NA,NA,,,,,,,,
,,,,,KARMART VOLKSWAGEN OF,"$17,200 ","1725 Bouslog Rd Burlington, WA 98233",(360) 755-3700,,,,,,,,
18,2014,FORD FLEX FWD SUV SEL,78711,2FMGK5C85EBD17491,,,,,PAUL BLANCO'S GOOD CAR COMPANY STOCKTON,"$18,700 ","3190 Auto Center Cir Stockton, CA 95212",(209) 922-0800,,,,
