S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
,,,,,,,,,,,,,,,,
S.No.,Model,Car,Odometer,VIN number,Online bid,Dollars,Address,Phone,Sold,Dollars,Address,Phone No.,If sale,Dollars,Address,Phone No.
1,2013,HONDA CIVIC LX,37188,19XFB2F55DE254464,TUSTIN HYUNDAI,"$11,000 ","16 Auto Center Drive Tustin, CA 92782",(714) 647-2000,PREMIER AUTO SALES,"$12,000 ","11601 Whittier Blvd Whittier, CA 90601",(562) 695-1234,,,,
,,,,,MARK MITSUBISHI,"$10,750 ","5200 San Mateo NE Albuquerque, NM 87109",(505) 338-8100,,,,,,,,
,,,,,ROYAL SPEED WAYS INC,"$10,500 ",NA,NA,,,,,,,,
2,2007,ACURA TSX,100266,JH4CL96857C004574,DRIVETIME,"$8,400 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,DRIVETIME,"$8,400 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
3,2005,TOYOTA HIGHLNDR FWD V6,119632,JTEGP21A150057212,MAGIC AUTO CENTER OF R,"$6,750 ","6360 Reseda Blvd Tarzana, CA 91335",(818) 881-6999,JNB MOTOR INC,"$7,000 ","1211 W Valley Blvd Alhambra, CA 91803",(626) 308-0006,,,,
4,2007,CHRYSLER 300 4X2 V6,79992,2C3KA43R77H648937,DRIVETIME,"$6,000 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,JNB MOTOR INC,"$7,000 ","1211 W Valley Blvd Alhambra, CA 91803",(626) 308-0006,,,,
,,,,,OTHMANS AUTO SALES,"$6,500 ","330 N Main St Salinas, CA 93901",(831) 751-0244,,,,,,,,
5,2008,NISSAN TITAN 4X2 CR SE,96115,1N6AA07D18N308381,DRIVETIME,"$10,250 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,LEZMA AUTO SALES,"$10,750 ","724 W Pacific Coast Hwy Los Angeles, CA 90744",(310) 513-9841,,,,
6,2009,HONDA ACCORD 4C LX,112501,1HGCP26359A181367,PROPER CHOICE AUTO SAL,"$8,000 ","94 Sarabande Irvine, CA 92620",949-345-9410,CENTRAL AUTO SALES INC,"$8,500 ","3181 Fulton Ave Sacramento, CA 95821",(916) 333-4773,,,,
,,,,,MAGIC AUTO CENTER OF R,"$8,250 ","6360 Reseda Blvd Tarzana, CA 91335",(818) 881-6999,,,,,,,,
7,2013,HONDA FIT,39850,JHMGE8H36DC050269,,,,,ACURA OF PORTLAND,"$11,500 ",N/A,N/A,,,,
8,2008,VOLKSWAGEN TOUAREG 2 V6,96811,WVGBE77L68D003228,D & C MOTORZ INC,"$8,700 ","2627 SE Holgate Blvd, Portland, OR 97202",(503) 719-5038,D & C MOTORZ INC,"$8,700 ","2627 SE Holgate Blvd, Portland, OR 97202",(503) 719-5038,,,,
9,2010,BMW 328I 328I,42360,WBAWV1C5XAP123903,,,,,MONZA CAR,"$15,000 ","14961 Ventura Blvd Sherman Oaks, CA 91403",(818) 907-1770,,,,
10,2008,AUDI A6 FWD V6,63428,WAUAH74F18N062278,BALLERS,"$10,500 ","700 S La Brea Inglewood, CA 90301",(424) 732-8504,BALLERS,"$10,500 ","700 S La Brea Inglewood, CA 90301",(424) 732-8504,,,,
,,,,,CORONA MOTORS INC,"$10,250 ","1502 W Holt Blvd Ontario, CA 91762",(909) 395-5554,,,,,,,,
11,2009,TOYOTA COROLLA,120447,JTDBL40E59J015202,PROPER CHOICE AUTO SAL,"$5,250 ","94 Sarabande Irvine, CA 92620",949-345-9410,BROTHERS AUTO SALES,"$6,200 ",Not applicable,Not applicable,,,,
12,2008,AUDI A8 L V8 4.2L,85973,WAUMV94E78N009481,NORTH BAY AUTO INC,"$16,000 ","2771 N Main St Walnut Creek, CA 94597",(925) 448-9309,NORTH BAY AUTO INC,"$16,000 ","2771 N Main St Walnut Creek, CA 94597",(925) 448-9309,,,,
,,,,,GLOBUL,"$15,000 ",NA,NA,,,,,,,,
13,2006,LEXUS SC 430,78762,JTHFN48Y669005803,BALLERS,"$16,750 ","700 S La Brea Inglewood, CA 90301",(424) 732-8504,PUENTE HILLS SUBARU,"$17,000 ","17801 E Gale Ave City Of Industry, CA 91748",(888) 450-8814,,,,
14,2014,HONDA ODYSSEY EX-L,27659,5FNRL5H64EB086524,,,,,TIM DAHLE NISSAN,"$26,600 ","4528 S State St Murray, UT 84107",801) 290-0250,,,,
15,2013,HONDA PILOT FWD EX,29767,5FNYF3H41DB004348,AUTONATION DIRECT,"$22,500 ","200 SW 1st Avenue Fort Lauderdale, FL 33301",(877) 600-3011,HONDA CARS OF CORONA,"$23,000 ","1080 Pomona Rd Corona, CA 92882",(951) 531-9573,,,,
16,2014,AUDI Q5 4C PREMIUM,13238,WA1CFAFP8EA075675,ROSEVILLE VOLKSWAGEN LLC,"$31,500 ","830 Automall Dr, Roseville, California 95661",(916) 774-2777,TIM DAHLE NISSAN,"$31,750 ","4528 S State St Murray, UT 84107",801) 290-0250,,,,
,,,,,BOISE VOLKSWAGEN AUDI,"$29,750 ",not applicable,(877) 649-7974,,,,,,,,
17,2008,FORD FUSION FWD V6 SEL,78341,3FAHP08138R139567,,,,,CACTUS JACKS AUTOS,"$5,500 ",Not applicable,Not applicable,,,,
18,2007,HONDA ACCORD V6,124666,1HGCM665X7A002951,,,,,PREMIER AUTO SALES,"$7,600 ","11601 Whittier Blvd Whittier, CA 90601",(562) 695-1234,,,,
19,2006,CHEVROLET 1500 SLV 4X2 EX 1LT,102483,1GCEC19V16Z107841,SMART AUTO,"$10,250 ","3105 E. Sahara Ave Las Vegas, NV 89104",702) 933-4400,SMART AUTO,"$10,250 ","3105 E. Sahara Ave Las Vegas, NV 89104",702) 933-4400,,,,
