Model,Name,Odometer,VIN,BidType,Ammount,BuyerName
,,,,SOLD,"$31,750","NORTH BAY NISSAN"
2012,"TOYOTA PRIUS 2",33384,JTDKN3DU2C1608710,,,
,,,,Bid,"$14,300","AUTOPILOT OF OREM"
,,,,SOLD,"$14,300","AUTOPILOT OF OREM"
2014,"TOYOTA PRIUS 2",47461,JTDKN3DU0E0365553,,,
,,,,Bid,"$13,000","COMPLETE AUTO BROKERS"
,,,,SOLD,"$13,300","DUBLIN TOYOTA"
2015,"LEXUS RX 350 AWD",15329,2T2BK1BA4FC294916,,,
,,,,Bid,"$38,250","STEVINSON LEXUS OF FREDERICK"
,,,,SOLD,"$38,500","LEXUS OF PLEASANTON"
2014,"TOYOTA CAMRY 4C SE",39122,4T1BF1FK8EU828900,,,
,,,,SOLD,"$13,700","MOMENTUM TOYOTA OF FAIRFIELD"
2014,"TOYOTA PRIUS 2",38594,JTDKN3DU7E0371818,,,
,,,,SOLD,"$15,300","CARDINALE GMC TRUCK"
2015,"LEXUS RX 350 AWD",10141,2T2BK1BA1FC295795,,,
,,,,Bid,"$39,250","STEVINSON LEXUS OF FREDERICK"
,,,,Bid,"$38,500","BOB'S FINE CARS"
,,,,SOLD,"$39,500","LEXUS OF PLEASANTON"
2014,"TOYOTA PRIUS 2",47099,JTDKN3DU0E1786635,,,
,,,,SOLD,"$14,400","CARDINALE GMC TRUCK"
2012,"TOYOTA CAMRY 4C SE",30125,4T1BF1FK5CU103509,,,
,,,,SOLD,"$13,700","RMS MOTORS"
2011,"HYUNDAI SANTA FE FWD 4C GLS",78321,5XYZG3AB2BG024656,,,
,,,,SOLD,"$9,900","CARDINALE AUTOMOTIVE GROUP ARIZONA INC"
2014,"TOYOTA SIENNA FWD LE",35625,5TDKK3DC2ES472973,,,
,,,,SOLD,"$21,000","DUBLIN TOYOTA"
2014,"TOYOTA CAMRY 4C SE",42489,4T1BF1FKXEU407051,,,
,,,,SOLD,"$14,000","CITY TOYOTA CITY SCION"
2013,"LEXUS RX 350 AWD",29293,2T2BK1BA1DC195421,,,
,,,,Bid,"$30,000","FREEMAN MOTORS INC"
