Model,Name,Odometer,VIN,BidType,Ammount,BuyerName
,,,,Bid,"$3,600","FUN WORLD AUTO SALES"
,,,,Bid,"$3,500","STAR AUTO SALES"
,,,,SOLD,"$3,600","FUN WORLD AUTO SALES"
2013,"FORD TRANSIT CONNECT XL",74518,NM0LS7CN9DT127130,,,
,,,,Bid,"$9,100","ROYAL MOTOR"
,,,,SOLD,"$15,400","UNKNOWN"
2014,"DODGE GRAND CARAVAN SXT",46531,2C4RDGCG0ER154489,,,
,,,,Bid,"$7,300","HOLLYWOOD CUSTOMS CORP"
,,,,Bid,"$7,200","STAR AUTO SALES"
,,,,Bid,"$7,000","AJ AUTO IMPORTS"
,,,,SOLD,"$7,300","DIABLO"
2014,"CHEVROLET G1500 CARGO 4X2",35726,1GCSGAFX7E1147514,,,
,,,,Bid,"$14,700","CENTRAL AUTOHAUS"
,,,,IF Sale,"$7,300","HOLLYWOOD CUSTOMS CORP"
2015,"CHEVROLET G2500 CARGO 4X2",24443,1GCWGFFF7F1101866,,,
,,,,Bid,"$12,600","1287  UR1 STOP AUTO SALES"
,,,,Bid,"$15,200","CENTRAL AUTOHAUS"
,,,,Bid,"$14,900","ROYAL MOTOR"
,,,,SOLD,"$15,200","CENTRAL AUTOHAUS"
2014,"HYUNDAI ACCENT GLS",37444,KMHCT4AE3EU618589,,,
,,,,Bid,"$14,900","CURMSONS AUTO SALES INC"
,,,,Bid,"$6,500","STAR AUTO SALES"
,,,,SOLD,"$6,600","YOSEMITE MOTORS"
2008,"CHEVROLET HHR LT",86793,3GNCA23P18S696104,,,
,,,,Bid,"$2,100","ANDYS AUTO SALES"
,,,,Bid,"$1,200","1287  UR1 STOP AUTO SALES"
,,,,IF Sale,"$8,900","FUN WORLD AUTO SALES"
2011,"HYUNDAI GENESIS V8",59617,KMHGC4DF2BU133345,,,
,,,,Bid,"$6,600","ELITE AUTO CENTER"
,,,,Bid,"$6,700","ABA AUTO SALES INC"
,,,,IF Sale,"$3,400","BAY AREA AUTO"
2015,"TOYOTA COROLLA L",24728,5YFBURHE5FP266257,,,
,,,,Bid,"$8,800","STAR AUTO SALES"
,,,,Bid,"$8,900","FUN WORLD AUTO SALES"
,,,,IF Sale,"$6,700","ABA AUTO SALES INC"
2015,"HYUNDAI SONATA 2.4L SE",23954,5NPE24AF4FH150084,,,
,,,,Bid,"$7,100","INTERTRADE INC"
,,,,Bid,"$2,600","S & M AUTO EXPERTS INC"
,,,,Bid,"$3,600","VICKS AUTO SALES"
,,,,Bid,"$6,800","G & G AUTO SALES LLC"
,,,,Bid,"$7,000","BEST AUTO LLC"
,,,,Bid,"$6,500","UNIVERSAL AUTO DEALER"
,,,,Bid,"$5,100","IMZ CORP"
,,,,IF Sale,"$7,100","INTERTRADE INC"
2015,"NISSAN VERSA S PLUS",38789,3N1CN7APXFL808423,,,
,,,,IF Sale,"$2,900","MARIO ALBERTO GARCIA MENDOZA"
2014,"DODGE GRAND CARAVAN SE",49319,2C4RDGBG2ER468601,,,
,,,,Bid,"$8,100","ABA AUTO SALES INC"
,,,,Bid,"$4,900","ALGHEDAN FOR STORAGE AND GENERAL TRADING CO"
,,,,Bid,"$6,300","DOABA MOTORS"
,,,,Bid,"$8,200","AJ AUTO IMPORTS"
,,,,Bid,"$4,200","BARGAIN USED CAR"
,,,,Bid,"$5,400","STAR AUTO SALES"
,,,,Bid,"$8,300","HOLLYWOOD CUSTOMS CORP"
,,,,IF Sale,"$8,300","HOLLYWOOD CUSTOMS CORP"
2014,"FORD FUSION FWD 4C SE",52196,3FA6P0H78ER331865,,,
,,,,Bid,"$7,100","AJ AUTO IMPORTS"
,,,,IF Sale,"$7,200","DIABLO"
2013,"CHEVROLET MALIBU LT",58411,1G11C5SA9DF310058,,,
,,,,IF Sale,"$8,700","OCEANSIDE AUTO"
2014,"TOYOTA COROLLA LE",54280,5YFBURHE0EP147563,,,
,,,,Bid,"$7,900","STAR AUTO SALES"
,,,,Bid,"$8,000","HOLLYWOOD CUSTOMS CORP"
,,,,IF Sale,"$8,000","HOLLYWOOD CUSTOMS CORP"
2015,"KIA OPTIMA LX",25686,5XXGM4A74FG450151,,,
,,,,Bid,"$8,500","BAY CITY AUTO"
,,,,Bid,"$9,000","T A C"
,,,,IF Sale,"$9,100","GOLDEN VALLEY AUTO"
2015,"KIA SOUL",24287,KNDJP3A58F7170411,,,
,,,,Bid,"$7,300","FUN WORLD AUTO SALES"
,,,,IF Sale,"$7,300","DIABLO"
2014,"NISSAN VERSA S PLUS",45312,3N1CN7AP0EL854969,,,
,,,,IF Sale,"$3,800","GATEWAY MOTORS INC"
2015,"TOYOTA COROLLA",16443,2T1BURHE3FC413109,,,
,,,,Bid,"$5,900","T A C"
,,,,Bid,"$6,500","S & M AUTO EXPERTS INC"
,,,,Bid,"$6,300","STAR AUTO SALES"
,,,,IF Sale,"$6,800","USA BROKERS"
2015,"TOYOTA PRIUS C",13846,JTDKDTB35F1095356,,,
,,,,Bid,"$7,500","STAR AUTO SALES"
,,,,IF Sale,"$7,400","CITY AUTO"
2012,"HYUNDAI GENESIS V6 3.8L",31217,KMHGC4DD3CU191397,,,
,,,,Bid,"$8,000","VICKS AUTO SALES"
,,,,Bid,"$5,300","STANDARD AUTOMOTIVE INC."
,,,,Bid,"$7,900","SACRAMENTO LUXURY MOTORS"
,,,,Bid,"$6,100","TIME MOTORS"
,,,,Bid,"$7,200","ELITE AUTO CENTER"
,,,,Bid,"$8,300","M & M AUTO"
,,,,IF Sale,"$7,500","UNKNOWN"
1998,"TOYOTA CAMRY CE",180418,JT2BG22K0W0147614,,,
,,,,Bid,"$700","GOOD DEAL AUTO SALES"
,,,,Bid,"$750","ELITE AUTO CENTER"
,,,,SOLD,"$800","CALIFORNIA AUTO SALES"
2004,"VOLVO S60 FWD 5C",108259,YV1RS64A942390690,,,
,,,,IF Sale,"$300","BLVD MOTORS"
1999,"CHEVROLET CAMARO V6",172395,2G1FP22K4X2124936,,,
,,,,SOLD,"$300","BAJA SALES"
2000,"TOYOTA ECHO",217509,JTDBT1231Y0041679,,,
,,,,Bid,"$300","TICOS CAR SALES LLC"
,,,,IF Sale,"$300","TICOS CAR SALES LLC"
1997,"VOLVO 854 GLT",122012,YV1LS5642V1396085,,,
,,,,SOLD,"$300","FREMONT AUTO REPAIR"
1999,"CHEVROLET VENTURE FWD EXT",130370,1GNDX03E9XD176219,,,
,,,,Bid,"$500","ELITE AUTO CENTER"
,,,,SOLD,"$550","GATEWAY MOTORS INC"
2001,"BMW 325I I",205005,WBAAV33471FU83441,,,
,,,,Bid,"$450","GOOD DEAL AUTO SALES"
,,,,SOLD,"$300","AUTO WORLD"
1997,"FORD F350 C/C 4X2",111574,1FDKF37G1VEA52822,,,
,,,,SOLD,"$450","GOOD DEAL AUTO SALES"
1998,"VOLVO S70 BASE",112246,YV1LS5576W2491028,,,
,,,,IF Sale,"$250","PICK N PULL DISMANTLERS"
1998,"TOYOTA CAMRY LE",167524,JT2BF22K1W0118545,,,
,,,,SOLD,"$300","SONIC AUTO GROUP"
2003,"HONDA CIVIC",248789,JHMES95613S032349,,,
,,,,Bid,"$400","GOOD DEAL AUTO SALES"
,,,,SOLD,"$450","UNKNOWN"
2002,"SUBARU IMPREZA AWD 2.5RS",171950,JF1GD67572G502334,,,
,,,,Bid,"$3,000","AUTO IMPORTS"
,,,,Bid,"$2,300","ELITE AUTO CENTER"
,,,,SOLD,"$3,000","AUTO IMPORTS"
1992,"HONDA ACCORD LX",329021,1HGCB7658NA213008,,,
,,,,SOLD,"$450","MARIO ALBERTO GARCIA MENDOZA"
1997,"TOYOTA LAND CRUISER",296019,JT3HJ85J1V0178737,,,
,,,,Bid,"$1,700","DAY TO DAY AUTO LLC"
,,,,Bid,"$1,800","SUN COAST AUTO SALES LLC"
,,,,Bid,"$1,500","BASSET MOTOR SALES"
,,,,Bid,"$3,600","WEST COAST AUTO ENTHUSIASTS LLC"
,,,,SOLD,"$3,700","INTREND AUTO SALES"
1999,"NISSAN MAXIMA GLE",252006,JN1CA21D0XT807816,,,
,,,,SOLD,"$300","ITS ABOUT CARS"
1995,"CHEVROLET SUBURBAN 1500K LS",150805,1GNFK16K2SJ355985,,,
,,,,Bid,"$250","DFW AUTO AND FLEET EXPERTS"
,,,,SOLD,"$300","RICKS AUTO SALES"
2004,"HONDA CIVIC EX",166899,1HGEM21044L005695,,,
,,,,Bid,"$1,300","VALE AUTOSALES LLC"
,,,,Bid,"$2,200","ELITE AUTO CENTER"
,,,,Bid,"$1,200","GOOD DEAL AUTO SALES"
,,,,Bid,"$1,800","AUTO IMPORTS"
,,,,Bid,"$1,600","STAR AUTO SALES"
,,,,SOLD,"$2,300","TTS MOTORS"
2005,"HYUNDAI ELANTRA GLS",118175,KMHDN56D25U132831,,,
,,,,Bid,"$500","STAR AUTO SALES"
,,,,Bid,"$600","GOOD DEAL AUTO SALES"
,,,,SOLD,"$700","BAJA SALES"
2014,"CHEVROLET SPARK LT",43570,KL8CD6S99EC533673,,,
,,,,SOLD,"$5,300","OCEANSIDE AUTO"
2015,"FORD FOCUS 4C SE",19131,1FADP3K23FL282340,,,
,,,,Bid,"$5,700","AJ AUTO IMPORTS"
,,,,IF Sale,"$5,700","AJ AUTO IMPORTS"
2014,"NISSAN ALTIMA 4C S",58904,1N4AL3APXEC201716,,,
,,,,SOLD,"$9,600","BAY AREA AUTO"
2014,"NISSAN VERSA NOTE SV",44472,3N1CE2CP9EL402311,,,
,,,,SOLD,"$5,300","DIABLO"
2014,"TOYOTA COROLLA S",34975,5YFBURHE8EP114214,,,
,,,,Bid,"$7,500","BAY CITY AUTO"
,,,,SOLD,"$9,100","ROYAL MOTORS WHOLESALE"
2014,"NISSAN MAXIMA 3.5 S",37935,1N4AA5AP4EC486463,,,
,,,,Bid,"$7,200","STAR AUTO SALES"
