S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2013,KIA FORTE EX,62076,KNAFU4A24D5729999,DRIVETIME,"$8,000","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,GARDEN GROVE KIA,"$8,300","10081 Garden Grove Blvd Garden Grove, CA 92844",(888) 992-1839,,,,
,,,,,RENO TAHOE AUTO GROUP,"$8,200","3355 Kietzke Ln. Reno, NV 89502",(775) 329-0303,,,,,,,,
,,,,,WEST SIDE AUTO SALES & LEASING,"$7,700",N/A,N/A,,,,,,,,
2,2013,KIA OPTIMA EX,15894,5XXGN4A72DG127467,ROYAL SPEEDWAY INC,"$14,500","4333 E Speedway Blvd Tucson, AZ, 85712",(520) 790-4132,ROYAL SPEEDWAY INC,"$14,500","4333 E Speedway Blvd Tucson, AZ, 85712",(520) 790-4132,,,,
,,,,,KIA OF VENTURA,"$14,400","6424 Auto Ctr Dr Ventura, CA 93003",(866) 629-3069,,,,,,,,
3,2012,KIA OPTIMA LX,28173,KNAGM4A72C5271863,ZAMORA KIA OF YUMA,"$10,700","2841 S Pacific Ave, Yuma, AZ 85365",(928) 257-3514,GARDEN GROVE KIA,"$11,400","10081 Garden Grove Blvd Garden Grove, CA 92844",(888) 992-1839,,,,
4,2013,HYUNDAI SONATA GLS,32004,5NPEB4AC4DH620715,,,,,NAYLOR AUTO INC.,"$10,600","145 W 300 S Provo, UT 84601",(801) 356-6959,,,,
5,2013,KIA FORTE EX,11304,KNAFU4A20D5685354,,,,,FIND A CAR,"$8,300",NA,NA,,,,
6,2014,KIA OPTIMA LX,31349,KNAGM4A7XE5481968,,,,,GARDEN GROVE KIA,"$11,800","10081 Garden Grove Blvd Garden Grove, CA 92844",(888) 992-1839,,,,
7,2016,KIA SORENTO FWD 4C LX,8142,5XYPG4A38GG040132,CAPISTRANO VOLKSWAGEN,"$19,750","32922 Valle Rd San Juan Capistrano, CA 92675",(866) 925-1603,GARDEN GROVE KIA,"$20,000","10081 Garden Grove Blvd Garden Grove, CA 92844",(888) 992-1839,,,,
8,2015,KIA SOUL BASE,940,KNDJN2A2XF7214897,KIA OF VENTURA,"$12,250","6424 Auto Ctr Dr Ventura, CA 93003",(866) 629-3069,IMPERIO KIA OF SAN JUAN CAPISTRANO,"$14,250","33611 Camino Capistrano San Juan Capistrano, CA 92675",(949) 276-2000,,,,
9,2015,KIA OPTIMA LX,5489,KNAGM4A73F5568516,THE HERTZ CORPORATION,"$14,500","43285 Auto Mall Cir Fremont, CA 94538",(510) 687-9771,ANROLD R CARTER,"$15,000",NA,NA,,,,
10,2015,KIA OPTIMA EX,10513,5XXGN4A76FG406407,SAADS AUTO SALES,"$17,750",430 E DYER RD SANTA ANA 92704-3311,714-540-1457,SAADS AUTO SALES,"$17,750",430 E DYER RD SANTA ANA 92704-3311,714-540-1457,,,,
11,2016,KIA SORENTO FWD V6 SX,986,5XYPK4A5XGG107720,FINDLAY KIA,"$28,500","5325 W Sahara Ave Las Vegas, NV 89146",(725) 696-8200,STG AUTO GROUP,"$30,000","1153 W Holt Blvd Ontario, CA 91762",(909) 984-6595,,,,
,,,,,JERSEY AUTO,"$29,250","5639 N Jersey Ave Chicago, IL 60659",(773) 588-2855,,,,,,,,
12,2015,KIA OPTIMA LX HYBRID,295,KNAGM4AD0F5086544,JERSEY AUTO,"$17,400","5639 N Jersey Ave Chicago, IL 60659",(773) 588-2855,CARMAX # 7129,"$17,300","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
13,2015,KIA SPORTAGE FWD 4C EX,9268,KNDPC3AC0F7723847,CAPISTRANO VOLKSWAGEN,"$21,000","32922 Valle Rd San Juan Capistrano, CA 92675",(866) 925-1603,LOTUS OF LAS VEGAS,"$22,750",NA,NA,,,,
,,,,,JERSEY AUTO,"$20,250","5639 N Jersey Ave Chicago, IL 60659",(773) 588-2855,,,,,,,,
,,,,,THE HERTZ CORPORATION,"$22,500","43285 Auto Mall Cir Fremont, CA 94538",(510) 687-9771,,,,,,,,
14,2016,KIA SORENTO FWD V6 LX,3044,5XYPG4A56GG017966,JERSEY AUTO,"$20,250","5639 N Jersey Ave Chicago, IL 60659",(773) 588-2855,THE HERTZ CORPORATION,"$21,750","43285 Auto Mall Cir Fremont, CA 94538",(510) 687-9771,,,,
,,,,,THE HERTZ CORPORATION,"$21,750","43285 Auto Mall Cir Fremont, CA 94538",(510) 687-9771,,,,,,,,
15,2013,HYUNDAI SONATA LIMITED,12639,5NPEC4AC2DH693370,,,,,ROMERO MAZDA/ROMERO BUICK/ROMERO HYUNDAI,"$16,500",NA,NA,,,,
16,2015,HYUNDAI ELANTRA SE,1682,KMHDH4AE3FU322883,,,,,HYUNDAI OF ESCONDIDO,"$13,500","1919 Auto Park Way Escondido, CA 92029",(760) 294-2300,,,,
17,2015,KIA SOUL BASE,6892,KNDJN2A20F7804266,KIA OF VENTURA,"$13,200","6424 Auto Ctr Dr Ventura, CA 93003",(866) 629-3069,KIA OF VENTURA,"$13,200","6424 Auto Ctr Dr Ventura, CA 93003",(866) 629-3069,,,,
18,2015,KIA SPORTAGE FWD 4C EX,17424,KNDPC3AC0F7700231,CAPISTRANO VOLKSWAGEN,"$19,000","32922 Valle Rd San Juan Capistrano, CA 92675",(866) 925-1603,CAPISTRANO VOLKSWAGEN,"$19,000","32922 Valle Rd San Juan Capistrano, CA 92675",(866) 925-1603,,,,
19,2013,HYUNDAI ELANTRA GLS,41629,KMHDH4AE7DU669730,LOMPOC HONDA,"$9,600","1224 N H St Lompoc, CA 93436",(805) 736-4595,HYUNDAI OF ESCONDIDO,"$10,100","1919 Auto Park Way Escondido, CA 92029",(760) 294-2300,,,,
20,2014,KIA SORENTO FWD 4C LX,27897,5XYKT3A67EG454199,KIA OF VENTURA,"$15,750","6424 Auto Ctr Dr Ventura, CA 93003",(866) 629-3069,GARDEN GROVE KIA,"$16,000","10081 Garden Grove Blvd Garden Grove, CA 92844",(888) 992-1839,,,,
,,,,,ZAMORA KIA OF YUMA,"$15,500","2841 S Pacific Ave, Yuma, AZ 85365",(928) 257-3514,,,,,,,,
21,2014,KIA OPTIMA EX,21828,KNAGN4AD1E5069702,ROYAL SPEEDWAY INC,"$17,250","4333 E Speedway Blvd Tucson, AZ, 85712",(520) 790-4132,,,,,,,,
22,2014,KIA CADENZA PREMIUM,32435,KNALN4D70E5133300,,,,,GARDEN GROVE KIA,"$18,000","10081 Garden Grove Blvd Garden Grove, CA 92844",(888) 992-1839,,,,
23,2013,HYUNDAI SONATA GLS,28426,5NPEB4AC6DH645468,CARDINALEWAY VOLKSWAGEN,"$10,800","2603 Wardlow Rd Corona, CA 92882",(877) 938-6381,FAMILY AUTO SALES,"$11,300","933 S Western Ave Los Angeles, CA 90006",(213) 507-8432,,,,
,,,,,FAMILY AUTO SALES,"$11,300","933 S Western Ave Los Angeles, CA 90006",(213) 507-8432,,,,,,,,
24,2013,HYUNDAI SONATA GLS,18157,5NPEB4AC2DH709084,,,,,CARMAX # 7129,"$12,000","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
25,2014,KIA CADENZA PREMIUM,24991,KNALN4D74E5120713,KIA OF VENTURA,"$18,250","6424 Auto Ctr Dr Ventura, CA 93003",(866) 629-3069,GARDEN GROVE KIA,"$19,250","10081 Garden Grove Blvd Garden Grove, CA 92844",(888) 992-1839,,,,
,,,,,DICK HANNAH HONDA,"$18,750","3321 NE Auto Mall Dr Vancouver, WA 98662",(360) 944-3399,,,,,,,,
