S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2010,TOYOTA HIGHLNDR FWD 4C BASE,98569,5TDZA3EH6AS002631,,,,,WESTERN MOTORS/AIDE RENT A CAR,"$13,000",,,,,,
2,2011,LINCOLN TOWN CAR SIG LTD,61264,2LNBL8CV4BX761376,,,,,MILLENNIUM CARS,"$11,000",,,,,,
3,2010,BMW X5 3.0 SI 30I,67900,5UXFE4C53AL379908,,,,,,,,,SOUTHERN CALIFORNIA AUTO HOUSE,"$14,500",,
4,2003,BMW Z4 3.0,108127,4USBT53473LU03014,MCBAY AUTO,"$4,250",,,,,,,CRUISE AUTOS,"$4,000",,
5,2008,MINI COOPER S,79084,WMWMF73528TV32602,,,,,,,,,PRESTGE AUTO SALES GROUP INC,"$4,250",,
6,2008,SCION TC,70820,JTKDE167580230375,,,,,STERLING IMPORTS LTD,"$6,400",,,,,,
7,2011,MERCURY MARINER FWD 4C,92824,4M2CN8B72BKJ06300,,,,,NVP REMARKETING,"$6,300",,,,,,
8,2011,CHEVROLET CRUZE LT W/2LT,73692,1G1PG5S95B7270539,,,,,,,,,STERLING IMPORTS LTD,"$7,000",,
9,2005,TOYOTA TACOMA 4X2 V6 PRERUNNER,189089,3TMKU72N45M004779,BASSET MOTOR SALES,"$9,250",,,WILLIAMS AUTO MART INC,"$9,000",,,,,,
10,2013,VOLKSWAGEN PASSAT 4C TDI SEL,72833,1VWCN7A3XDC087522,NORTHWEST MOTORCARS LLC,"$11,250",,,,,,,NORTHWEST MOTORCARS LLC,"$11,250",,
11,2015,HONDA FIT EX,25265,3HGGK5H89FM712823,,,,,,,,,DELUXE AUTO DEALER LLC,"$13,000",,
12,2009,CADILLAC ESCALADE 4X2 V8,113095,1GYFC43549R119902,GLOBAL EUROPEAN MOTORCARS LLC,"$17,500",,,GLOBAL EUROPEAN MOTORCARS LLC,"$17,500",,,,,,
13,2008,JEEP WRANG UNLTD 4X2 UNLIMITEDX,130356,1J4GB39128L595332,CAR 1234 INC,"$11,250",,,CAR 1234 INC,"$11,250",,,,,,
14,2010,JEEP WRANG UNLTD 4X4 SPORT,64259,1J4BA3H18AL229234,,,,,LUCKY IMPORTS,"$17,500",,,,,,
15,2007,JEEP WRANG UNLTD 4X2 UNLIMITEDX,115629,1J4GB391X7L136273,,,,,UNKNOWN,"$12,000",,,,,,
16,2007,HONDA CR-V 4X4 EX-L,86354,JHLRE48737C121814,,,,,UNKNOWN,"$10,000",,,,,,
17,2012,DODGE GRAND CARAVAN,49223,2C4RDGBG4CR299002,MARK MITSUBISHI,"$9,000",,,UNKNOWN,"$10,000",,,,,,
,,,,,BILL LUKE FIAT,"$8,750",,,,,,,,,,
18,2015,SUBARU WRX STI,17122,JF1VA2L69F9810347,JOHN HINE TEMECULA MAZDA,"$29,750",,,JOHN HINE TEMECULA MAZDA,"$29,750",,,,,,
,,,,,MARK MITSUBISHI,"$29,000",,,,,,,,,,
19,2007,NISSAN 350Z,90582,JN1BZ34D07M506785,,,,,KLASS MOTORS,"$8,750",,,,,,
20,2009,HONDA ACCORD 4C EX-L,61923,1HGCS12889A003429,MCBAY AUTO,"$8,500",,,MCBAY AUTO,"$8,500",,,,,,
21,2007,BMW X3 3.0L 3.0SI,95197,WBXPC93477WF24655,AZ LUXURY AUTO INC,"$6,500",,,AZ LUXURY AUTO INC,"$6,500",,,,,,
22,2012,VOLKSWAGEN TIGUAN FWD,38103,WVGAV7AX1CW594525,,,,,AVERY AUTOMOTIVE INC,"$12,000",,,,,,
23,2012,HONDA CIVIC EX,76368,2HGFB2F5XCH506939,A / R AUTO INC,"$7,500",,,,,,,,,,
24,2013,SUBARU FORESTER XT TOURING,35191,JF2SHGGC7DH404772,PIKES PEAK ACURA LTD,"$20,750",,,JOHN HINE TEMECULA MAZDA,"$21,750",,,,,,
,,,,,JOHN HINE TEMECULA MAZDA,"$21,750",,,,,,,,,,
25,2003,FORD F150 4X2 EX,164262,2FTRX07263CA83859,,,,,CA CARSDIRECT,"$2,600",,,,,,
26,2006,HONDA ELEMENT 4X4 EX-P,169144,5J6YH28776L007053,A / R AUTO INC,"$3,900",,,CAR 1234 INC,"$4,600",,,,,,
,,,,,CAR 1234 INC,"$4,600",,,,,,,,,,
,,,,,GLAZZY AUTO SALES,"$4,000",,,,,,,,,,
27,1990,ALFA ROMEO SPIDER VELOCE,247703,ZARBA12G5L6001853,INTEGRITY RV,"$2,600",,,GLAZZY AUTO SALES,"$3,000",,,,,,
,,,,,SUN COAST AUTO SALES LLC,"$2,700",,,,,,,,,,
,,,,,GLAZZY AUTO SALES,"$3,000",,,,,,,,,,
28,2009,FORD MUSTANG V6 CPE,81147,1ZVHT80N195100691,AZ LUXURY AUTO INC,"$5,500",,,AZ LUXURY AUTO INC,"$5,500",,,,,,
29,2012,SCION XB,71901,JTLZE4FE0CJ009934,,,,,ITAMEX MOTOR,"$9,500",,,,,,
30,2007,BMW 750LI 750LI,126866,WBAHN83507DT68012,ARMANI MOTORS,"$7,750",,,ARMANI MOTORS,"$7,750",,,,,,
31,2004,MERCEDES SL500R,36115,WDBSK75F34F069386,,,,,,,,,SOUTH BAY FORD LINCOLN,"$18,250",,
32,2009,INFINITI G37 4X2,52699,JNKCV61E89M310476,VOLVO OF LAS VEGAS,"$14,250",,,PREMIER AUTO SALES,"$14,750",,,,,,
33,2011,BMW 328I 328I,86573,WBADW3C56BE537421,,,,,SANTA FE AUTO GROUP,"$14,000",,,,,,
34,2011,CHEVROLET 1500 SUB 4X2 V8 LT,57093,1GNSCJE05BR393501,,,,,WESTERN MOTORS/AIDE RENT A CAR,"$20,500",,,,,,
35,2012,AUDI A4 AWD 2.0T PRM,69995,WAUSFAFL8CA002153,,,,,A & H MOTORS INC,"$17,000",,,,,,
36,2011,CHEVROLET 1500 SLV 4X2 EX LT,90985,1GCRCSE04BZ294780,,,,,,,,,WESTERN MOTORS/AIDE RENT A CAR,"$13,750",,
37,1998,INFINITI QX4,313039,JNRAR05Y6WW027542,,,,,JC MOTORS LAKE,$300,,,,,,
38,2011,NISSAN SENTRA 2.0 SL,18130,3N1AB6AP7BL609723,,,,,UNKNOWN,"$9,500",,,,,,
39,2001,LEXUS RX 300 FWD,131212,JTJGF10U710111035,,,,,ST MINA AUTO SALES,"$5,000",,,,,,
40,2011,TOYOTA TACOMA 4X2 DB PRERUNNER,33199,3TMJU4GN8BM116046,,,,,NVP REMARKETING,"$17,000",,,,,,
41,2005,BMW X5 4.4L,131675,5UXFB53505LV12855,,,,,ALL ABOUT AUTO WHOLESALE LLC,"$4,800",,,,,,
