S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2013,FORD EDGE FWD 4C SEL,71260,2FMDK3J96DBB07242,,,,,PAUL BLANCO'S GOOD CAR COMPANY INLAND EMPIRE,"$14,000 ","8205 Indiana St Riverside, CA 92504",(951) 373-5300,,,,
2,2011,FORD EDGE FWD V6 SE,54808,2FMDK3GC8BBA56973,,,,,,,,,PAUL BLANCOS GOOD CAR COMPANY,"$11,500 ","2200 Fulton Ave Sacramento, CA 95825",(916) 485-2277
3,2014,FORD ESCAPE 4X4 4C SE,22493,1FMCU9GX5EUD45643,,,,,PAUL BLANCOS GOOD CAR COMPANY,"$11,000 ","2200 Fulton Ave Sacramento, CA 95825",(916) 485-2277,,,,
4,2014,FORD ESCAPE FWD 4C SE,38132,1FMCU0GXXEUC38714,GEORGE CHEVROLET,"$13,750 ","17000 Lakewood Blvd Bellflower, CA 90706",(562) 376-9736,GEORGE CHEVROLET,"$13,750 ","17000 Lakewood Blvd Bellflower, CA 90706",(562) 376-9736,,,,
,,,,,CREST NISSAN OF FRISCO,"$13,500 ","6600 State Hwy 121 Frisco, TX 75034",(855) 978-7941,,,,,,,,
5,2014,FORD ESCAPE FWD 4C SE,56660,1FMCU0GX9EUD26105,,,,,AUTOBAHN,"$12,500 ","700 Island Pkwy, Belmont, CA 94002",888-578-3454,,,,
6,2012,FORD ESCAPE FWD V6 XLT,92928,1FMCU0DG3CKC08466,,,,,DRIVETIME,"$8,500 ","18313 Hawthorne Blvd Torrance, CA 90504",(310) 793-1666,,,,
7,2013,FORD FOCUS SE,68051,1FADP3F20DL309775,ATLAS AUTOMOTIVE,"$7,250 ","4120 Fountain Ave Los Angeles, CA 90029",(323) 660-4257,FIRST CHOICE AUTO CENTER,"$7,750 ","13731 Harbor Blvd Garden Grove, CA 92843",(714) 530-5333,,,,
,,,,,AUTO PLAZA,"$7,500 ","798 S 1st St San Jose, CA 95113",(408) 288-6266,,,,,,,,
,,,,,CHEVROLET OF GLENDORA,"$7,000 ","1959 Auto Centre Dr Glendora, CA 91740",(909) 474-7364,,,,,,,,
8,2013,FORD FOCUS SE,72253,1FADP3F28DL272703,ATLAS AUTOMOTIVE,"$7,250 ","4120 Fountain Ave Los Angeles, CA 90029",(323) 660-4257,DRIVETIME,"$7,750 ","18313 Hawthorne Blvd Torrance, CA 90504",(310) 793-1666,,,,
,,,,,CHEVROLET OF GLENDORA,"$7,500 ","1959 Auto Centre Dr Glendora, CA 91740",(909) 474-7364,,,,,,,,
9,2009,FORD FOCUS SEL,50312,1FAHP37N79W266097,CHEVROLET OF GLENDORA,"$5,750 ","1959 Auto Centre Dr Glendora, CA 91740",(909) 474-7364,,,,,DRIVETIME,"$7,000 ","18313 Hawthorne Blvd Torrance, CA 90504",(310) 793-1666
,,,,,5 GRAND AUTOLAND,"$6,250 ","515 Oceanside Blvd. Oceanside, CA 92054",(760) 231-8899,,,,,,,,
,,,,,PASO ROBLES FORD LINCOLN MERCURY,"$6,750 ","2401 Oakwood St Paso Robles, CA 93446",(805) 239-3673,,,,,,,,
10,2013,FORD FOCUS SE,80200,1FADP3F27DL253561,,,,,DRIVETIME,"$6,500 ","18313 Hawthorne Blvd Torrance, CA 90504",(310) 793-1666,,,,
