S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2007,MAZDA MAZDA3 S SPT S SPORT,JM1BK143371650118,79257,CAR MART,"$5,500 ","767 Baker St Costa Mesa, CA 92626",(949) 288-6898,CAR MART,"$5,500 ","767 Baker St Costa Mesa, CA 92626",(949) 288-6898,,,,
2,2011,NISSAN SENTRA,3N1AB6AP7BL727710,87128,AUTO JUNCTION INC,"$5,800 ","1015 N Scottsdale Rd Tempe, AZ 85281",(480) 377-0552,MEDINA CARS LTD,"$6,000 ","407 South Atlantic Boulevard Los Angeles, CA 90022",(323( 264-9800,,,,
3,2013,NISSAN ALTIMA 4C SV,1N4AL3AP6DC162623,31923,,,,,AUTOBAHN MOTORS INC,"$11,900 ","700 Island Parkway Belmont, CA 94002",(650) 637-2333,,,,
4,2012,NISSAN MAXIMA 3.5 SV PRM,1N4AA5AP6CC853537,74476,AUTO JUNCTION INC,"$11,800 ","1015 N Scottsdale Rd Tempe, AZ 85281",(480) 377-0552,KINGDOM KLASSICS,"$11,900 ","6935 N Ave Ste B Lemon Grove, CA 91945",(619) 892-8915,,,,
5,2010,NISSAN ALTIMA 4C 2.5 S,1N4AL2AP0AN463687,76566,,,,,JNB MOTOR INC,"$6,700 ","1211 W Valley Blvd Alhambra, CA 91803",(626) 308-0006,,,,
6,2004,NISSAN MAXIMA SE,1N4BA41E54C906291,105973,,,,,PREMIUM FINANCE,"$3,100 ","2490 Harbor Blvd Costa Mesa, CA 92626",(714) 545-2081,,,,
7,2006,FORD EXPLORER 4X2 V6 XLT,1FMEU63E56UA94135,175221,,,,,PREMIUM FINANCE,"$3,300 ","2490 Harbor Blvd Costa Mesa, CA 92626",(714) 545-2081,,,,
8,2008,CHEVROLET EQUINOX FWD LS,2CNDL13F386000944,156676,BAJAKAR,"$2,400 ",Not applicable,Not applicable,,,,,,,,
,,,,,GANIME MOTORS,"$2,500 ","40332 Saddlebrook St Murrieta, CA 92563",858 864 3829,,,,,,,,
9,1994,HONDA CIVIC EX,JHMEH9695RS009768,207651,,,,,DREAMERS AUTO SALES,$600 ,"3808 Baldwin Blvd Corpus Christi, TX 78405",(361) 888-7792,,,,
10,2006,CHEVROLET UPLANDR FWD EXT LS,1GNDV23L76D234097,222828,BAJAKAR,$800 ,Not applicable,Not applicable,BAJAKAR,$800 ,Not applicable,Not applicable,,,,
11,2007,NISSAN FRONTIER 4X2 CR SE,1N6AD09U37C435695,119696,,,,,VELOCITY MOTORS,"$8,800 ","1716 S La Cienega Blvd Los Angeles, CA 90035",(310) 842-4896,,,,
12,2008,SUZUKI GRAND V 4X2,JS3TE941184104265,55080,ONUR AUTO,"$2,100 ","521 North Mountain Avenue # J Upland, CA 91786",(909) 931- 7951,AZ LUXURY AUTO LLC,"$3,700 ",22047 N 23 Ave Phoenix Maricopa AZ 85027-1932,(623) 869 6944,,,,
,,,,,AZ LUXURY AUTO LLC,"$3,700 ",22047 N 23 Ave Phoenix Maricopa AZ 85027-1932,(623) 869 6944,,,,,,,,
13,2001,NISSAN ALTIMA GXE,1N4DL01D41C154629,151247,,,,,GIO AUTO SALES,"$1,000 ","12295 Lebanon Rd Mount Juliet, TN 37122",(615) 758-2934,,,,
14,2012,NISSAN ALTIMA 4C 2.5 S,1N4AL2AP3CN507717,94272,EMPIRE MOTORS,"$6,100 ","236 S Oxnard Blvd Oxnard, CA 93030",(805) 486-6424,VELOCITY MOTORS,"$6,000 ","1716 S La Cienega Blvd Los Angeles, CA 90035",(310) 842-4896,,,,
15,2002,AUDI S4,WAURD68D42A000857,177959,ALL STAR CAR OUTLET INC,"$2,500 ","1078 Rock Road Ln # A, East Dundee, IL 60118",(847) 428-5421,ALL STAR CAR OUTLET INC,"$2,500 ","1078 Rock Road Ln # A, East Dundee, IL 60118",(847) 428-5421,,,,
16,2007,NISSAN SENTRA 2.0,3N1AB61EX7L637053,57967,,,,,MARIOS AUTO SALES INC,"$3,800 ","1010 S Harbor Blvd Santa Ana, CA 92704",(714) 531-9710,,,,
17,2007,NISSAN VERSA 1.8 S,3N1BC11EX7L440792,143982,,,,,EAST LA AUTO SALES INC,"$2,700 ","4300 E 3rd St Los Angeles, CA 90022-1501",323-264-8283,,,,
18,2010,NISSAN SENTRA 2.0 SR,3N1AB6AP1AL634308,79321,CAR MART,"$5,100 ","767 Baker St Costa Mesa, CA 92626",(949) 288-6898,CAR MART,"$5,100 ","767 Baker St Costa Mesa, CA 92626",(949) 288-6898,,,,
19,2002,ACURA RSX TYPE-S,JH4DC53062C003339,110764,,,,,MIRAMAR MOTORSPORTS INC,"$5,400 ","5750 Miramar Rd San Diego, CA 92121",(858) 677-0027,,,,
20,2014,NISSAN SENTRA FE+,3N1AB7AP3EL623810,39891,,,,,TUMEJO AUTO FLEET,"$9,900 ","8625 Sepulveda Blvd North Hills, CA 91343",818-370-5677,,,,
21,2006,JEEP LIBERTY 4X4 V6 SPORT,1J4GL48K26W102578,116219,,,,,LATINO AUTO SALES INC,"$4,600 ","9934 Garvey Ave El Monte, CA 91733",(626) 401-9486,,,,
22,2013,NISSAN ALTIMA 4C S,1N4AL3AP9DN521452,43355,,,,,VELOCITY MOTORS,"$10,300 ","1716 S La Cienega Blvd Los Angeles, CA 90035",(310) 842-4896,,,,
23,2005,BUICK LACROSSE CXS,2G4WE537951216180,104298,,,,,AUTO ACTION,"$4,000 ","5801 Fairmount Ave San Diego, CA 92120",(619) 281-3333,,,,
24,2004,TOYOTA CAMRY 4C LE,4T1BE32K04U885160,135904,,,,,EXPRESS AUTO SALES,"$3,500 ","3805 FLORIN ROAD SUITE 1012 SACRAMENTO, CA 95823",916-922-2260,,,,
25,2009,HYUNDAI SONATA V6,5NPET46F79H467643,127709,,,,,PREMIUM FINANCE,"$3,200 ","2490 Harbor Blvd Costa Mesa, CA 92626",(714) 545-2081,,,,
26,2009,MITSUBISHI ECLIPSE V6 GT,4A3AL35T39E015184,104940,,,,,AUTO ACTION,"$4,300 ","5801 Fairmount Ave San Diego, CA 92120",(619) 281-3333,,,,
27,2009,FORD FOCUS SE,1FAHP35NX9W114401,103314,,,,,AMERICA AUTO SALES/LEASING INC,"$3,900 ",5910 Firestone Blvd South Gate 90280 CA,5628066000,,,,
28,2010,FORD F150 4X2 CR XLT,1FTEW1C83AFC57325,50943,,,,,WILLIAMS AUTO MART INC,"$14,300 ","13432 Van Nuys Blvd Pacoima, CA 91331",(818) 890-1883,,,,
29,2004,HONDA CR-V FWD LX,JHLRD68414C018911,164938,,,,,AMERICA AUTO SALES/LEASING INC,"$3,400 ",5910 Firestone Blvd South Gate 90280 CA,5628066000,,,,
30,2009,NISSAN SENTRA 2.0,3N1AB61E49L696537,77503,,,,,AUTO NATIX,"$4,900 ","26260 N. Mooney Blvd Tulare, CA 93274",(559) 622-8600,,,,
31,2004,NISSAN MURANO FWD SL,JN8AZ08T24W227254,140449,,,,,PREMIUM FINANCE,"$3,000 ","2490 Harbor Blvd Costa Mesa, CA 92626",(714) 545-2081,,,,
32,2000,NISSAN FRONTIER 4X2 CR SE,1N6ED27T5YC396245,146302,,,,,MARIOS AUTO SALES INC,"$4,000 ","1010 S Harbor Blvd Santa Ana, CA 92704",(714) 531-9710,,,,
33,2007,NISSAN ARMADA 4X2 SE,5N1AA08A17N709673,135244,,,,,FRONTLIINE MOTORS CARS,"$6,500 ","13631 Harbor Blvd Ste B Garden Grove, CA 92843",(714) 616-1600,,,,
