S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2015,DODGE CHARGER 4X2 V6 SE,9812,2C3CDXBG0FH789523,,,,,CARMAX # 7129,"$18,700 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
2,2015,JEEP CHEROKEE FWD 4C LATITUDE,15367,1C4PJLCBXFW655587,ANDERSON CHRYSLER JEEP DODGE,"$17,000 ",,,ANDERSON CHRYSLER JEEP DODGE,"$17,000 ",,,,,,
3,2015,DODGE CHARGER 4X2 V6 SXT,16395,2C3CDXHG6FH794409,,,,,CARMAX # 7129,"$18,900 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
4,2015,DODGE DART SXT,12909,1C3CDFBB4FD336212,,,,,CARMAX # 7129,"$20,000 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
5,2015,DODGE CHARGER 4X2 V6 SE,15411,2C3CDXBG3FH789578,,,,,PUENTE HILLS CHRYSLER DODGE JEEP RAM,"$17,200 ",,,,,,
6,2015,JEEP PATRIOT FWD 4C SPORT,28960,1C4NJPBA7FD251004,,,,,NAYLOR AUTO INC.,"$11,600 ","145 W 300 S Provo, UT 84601",(801) 356-6959,,,,
7,2015,DODGE CHARGER 4X2 V6 SXT,17056,2C3CDXHG9FH770668,,,,,HERTZ CAR SALES,"$18,900 ","4401 Stevens Creek Blvd Santa Clara, CA 95051",(877) 244-6782,,,,
8,2015,CHRYSLER 300 4X2 V6 LIMITED,15763,2C3CCAAG0FH806886,CAR AVE,"$19,700 ","1710 N Blackstone Ave,Fresno, CA 93703",559-237-6600,ANDERSON CHRYSLER JEEP DODGE,"$20,000 ",,,,,,
,,,,,ANDERSON CHRYSLER JEEP DODGE,"$20,000 ",,,,,,,,,,
,,,,,MARK MITSUBISHI,"$20,100 ","6910 E McDowell Rd Scottsdale, AZ 85257",480) 420-6193,,,,,,,,
9,2015,JEEP CHEROKEE FWD 4C LATITUDE,15394,1C4PJLCB5FW694233,,,,,CARMAX # 7129,"$16,900 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
10,2015,DODGE DART SXT,16993,1C3CDFBB6FD319377,BUDGET RENT A CAR & SALES,"$11,500 ",,,BUDGET RENT A CAR & SALES,"$11,500 ",,,,,,
11,2015,DODGE CHARGER 4X2 V6 SE,13720,2C3CDXBG8FH761842,,,,,CARMAX # 7129,"$18,300 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
12,2014,JEEP GR CHERO 4X4 V6 LIMITED,38745,1C4RJFBG6EC491276,,,,,K & S AUTO SALES,"$25,250 ","3231 India St San Diego, CA 92103",(619) 683-9300,,,,
13,2014,KIA SOUL PLUS,46495,KNDJP3A53E7058002,,,,,DUBLIN NISSAN,"$10,700 ","6450 Dublin Ct Dublin, CA 94568",(925) 452-8000,,,,
