SR#,Model,Name,Odometer,VIN,BidType,Ammount,BuyerName,Address,Phone No.
17,2006,MAYBACH 57S,26707,WDBVF79J86A001634,,,,,
,,,,,Bid,"$63,000 ",GLOBAL EUROPEAN MOTORCARS LLC,"1655 E 6th St Ste B2 Corona, CA 92879",(951) 279-1700
,,,,,Bid,"$64,500 ",TEXAS IMPORT SALES,"14807 Venture Drive Dallas, TX 75234",(972) 888-9998
,,,,,Bid,"$64,000 ",FERRARI OF ORANGE COUNTY,"
1425 Baker St, Costa Mesa, CA 92626
",(714) 662-7600
,,,,,IF Sale,"$64,500 ",TEXAS IMPORT SALES,"14807 Venture Drive Dallas, TX 75234",(972) 888-9998
18,2015,AUDI RS 5,28821,WUAC6AFH7FN900049,,,,,
,,,,,IF Sale,"$50,000 ",CHICAGO MOTOR CAR CORPORATION,"27W110 N Ave West Chicago, IL 60185",(630) 221-1800
19,2012,BMW 528IA 528I,84622,WBAXG5C58CDW66208,,,,,
,,,,,IF Sale,"$16,500 ",TRANS ATLANTIC MOTORS LTD,"11601 Ventura Blvd, Studio City, CA 91604, United States",818-766-6111
20,1997,LAND ROVER DEFENDER 90,117858,SALDV3249VA105294,,,,,
,,,,,Bid,"$38,000 ",SOURCE MOTORS INC,,
,,,,,IF Sale,"$38,000 ",SOURCE MOTORS INC,,
21,2015,BMW M3 SEDAN M3,13486,WBS3C9C52FP803899,,,,,
,,,,,Bid,"$59,500 ",HANCOCK AUTOMOTIVE,"9265 Black Mountain Rd Ste 101 San Diego, CA 92126",(858) 204-8050
,,,,,SOLD,"$60,500 ",KEYS MOTORS,241 Dalrymple Road Garbutt Townsville QLD 4810,4727 7000
22,2007,MERCEDES 57S,51269,WDBVF79J47A001843,,,,,
,,,,,Bid,"$58,500 ",GLOBAL EUROPEAN MOTORCARS LLC,"1655 E 6th St Ste B2 Corona, CA 92879",(951) 279-1700
,,,,,Bid,"$61,000 ",FERRARI OF ORANGE COUNTY,"
1425 Baker St, Costa Mesa, CA 92626
",(714) 662-7600
,,,,,Bid,"$59,500 ",METROLINA AUTO GROUP LLC,"6010 Kenley Ln Charlotte, NC 28217",(704) 705-2570
,,,,,SOLD,"$60,500 ",KEYS MOTORS,241 Dalrymple Road Garbutt Townsville QLD 4810,4727 7000
23,2013,AUDI A6 FWD 4C 2.0T PRM,40997,WAUCFAFC5DN062406,,,,,
,,,,,Bid,"$19,750 ",GT3 AUTO GROUP,,
,,,,,IF Sale,"$19,750 ",GT3 AUTO GROUP,,
24,2010,PORSCHE PANAMERA AWD 4S,32387,WP0AB2A72AL063350,,,,,
,,,,,SOLD,"$46,500 ",PARK PLACE LTD,"13710 NE 20th St, Bellevue, WA 98005, United States",425-562-1000
25,2013,BMW 650I 650I,28614,WBA6B2C53DDG66937,,,,,
,,,,,IF Sale,"$45,000 ",PLAZA MOTORS INC,"225 E Miner Ave, Stockton, CA 95202",(209) 227-8432
26,2015,MERCEDES S550V S550,19870,WDDUG8CB1FA083391,,,,,
,,,,,IF Sale,"$72,000 ",CHICAGO MOTOR CAR CORPORATION,"27W110 N Ave West Chicago, IL 60185",(630) 221-1800
27,1974,CHEVROLET IMPALA CUSTOM,58195,1L47RAY161822,,,,,
,,,,,Bid,"$40,500 ",SAMIRIDES LLC,NA,NA
,,,,,IF Sale,"$40,500 ",SAMIRIDES LLC,NA,NA
28,2007,LINCOLN TOWN CAR EXEC LIMO,44574,1L1FM88W37Y634188,,,,,
,,,,,SOLD,"$17,750 ",PARADISE AUTOMOTIVE GROUP INC,"32592 Valle Rd San Juan Capistrano, CA 92675",(949) 347-2522
29,2013,MASERATI GRANTURISMO,13766,ZAM45MMA9D0067422,,,,,
,,,,,Bid,"$75,500 ",NIELLO FIAT/MASERATI O...,,
30,1956,AUSTIN TAXI,77583,FX3229396,,,,,
,,,,,Bid,"$26,000 ",PALM DESERT AUTO,"74725 Joni Dr Palm Desert, CA 92260",(760) 895-8001
31,1956,AUSTIN TAXI,77583,FX3229396,,,,,
,,,,,Bid,"$4,000 ",COOPER MOTORS LTD,,
32,1965,FORD MUSTANG,77809,5F08C731624,,,,,
,,,,,Bid,"$23,500 ",PALM DESERT AUTO,"74725 Joni Dr Palm Desert, CA 92260",(760) 895-8001
,,,,,IF Sale,"$23,500 ",PALM DESERT AUTO,"74725 Joni Dr Palm Desert, CA 92260",(760) 895-8001
33,1969,CHEVROLET CORVETTE,99326,194679S722438,,,,,
,,,,,Bid,"$23,000 ",PALM DESERT AUTO,"74725 Joni Dr Palm Desert, CA 92260",(760) 895-8001
,,,,,Bid,"$19,000 ",GOSSLER MOTORS,,
34,2016,PORSCHE CAYENNE V6,9735,WP1AA2A28GLA00297,,,,,
,,,,,Bid,"$56,500 ",PORSCHE OF WEST HOUSTON,"11890 Katy Freeway Houston, TX 77079",(855) 774-6351
35,1995,DODGE VIPER,12578,1B3BR65E5SV201471,,,,,
,,,,,Bid,"$20,250 ",PARADISE AUTO SALES INC,,
36,2015,AUDI A6 AWD V6 PRESTIGE,9468,WAUHGAFC8FN005316,,,,,
,,,,,Bid,"$42,750 ",SCHRIER AUTOMOTIVE INC,"7128 F St Omaha, NE 68117",(402) 733-1191
,,,,,Bid,"$44,000 ",RED ROCK AUTOMOTIVE,"507 N Scottsdale Rd Scottsdale, AZ 85257",(480) 629-4759
,,,,,Bid,"$46,250 ",GLOBAL LUXURY IMPORTS LLC,"101 Tower Dr, Burr Ridge, IL 60527, United States",630-537-1099
37,2014,HYUNDAI SANTA SP FWD 4C,17936,5XYZT3LB9EG134293,,,,,
,,,,,Bid,"$16,250 ",TUSTIN HYUNDAI,"16 Auto Center Drive Tustin, CA 92782",(714) 647-2000
,,,,,Bid,"$17,500 ",SUNNYVALE VOLKSWAGEN,"1025 E El Camino Real Sunnyvale, CA 94087",(866) 308-6221
38,2009,AUDI R8 4.2L,63805,WUAAU34239N000700,,,,,
,,,,,Bid,"$63,500 ",LV CARS,"2445 E Sahara Ave Las Vegas, NV 89104 Eastside, Downtown",(702) 485-1515
,,,,,Bid,"$61,000 ",THE BEST WHEELS INC,,
39,2012,BMW 135I CNV 135I,35470,WBAUN7C50CVM26827,,,,,
,,,,,Bid,"$20,250 ",FREEMAN MOTOR COMPANY INC,not applicable,not applicable
40,2009,BMW 535I,91031,WBANW13509C162172,,,,,
,,,,,Bid,"$22,250 ",AUTO GALLERY,"2550 Wardlow Rd Corona, CA 92882",(951) 372-0008
41,2008,MERCEDES CLK63BLK AMG,17110,WDBTJ77H48F235409,,,,,
,,,,,IF Sale,"$59,000 ",PLATINUM AUTO HAUS,"610 N Pacific Coast Hwy Redondo Beach, CA 90277",(310) 318-3122
42,2015,FERRARI CALIFORNIA T,1578,ZFF77XJA6F0205794,,,,,
,,,,,Bid,"$141,000 ",MYAUTOCONNECTIONUSA.COM,,
