SR#,Model,Name,Odometer,VIN,BidType,Ammount,BuyerName,Address,Phone No.
1,2006,HUMMER H2,102393,5GRGN23U36H113413,,,,,
,,,,,Bid,"$20,000 ",FUTURE AUTO SALES INC,"1711 S Brand Blvd, Glendale, CA 91204",(818) 240-0099
,,,,,IF Sale,"$20,250 ",NBS MOTORS,,
2,2008,PORSCHE 911 AWD 6C CARRERA 4S,55545,WP0CB29958S775561,,,,,
,,,,,Bid,"$37,000 ",PLAZA MOTORS INC,"225 E Miner Ave, Stockton, CA 95202",(209) 227-8432
3,2008,MERCEDES CL63 AMG V8 AMG,65247,WDDEJ77X88A010852,,,,,
,,,,,Bid,"$32,750 ",ELITE MOTOR CARS,"1671 Challenge Dr Concord, CA 94520",(925) 826-5353
4,2012,FISKER KARMA ECO SPORT,1292,YH4K14AA4CA001287,,,,,
,,,,,Bid,"$23,500 ",CAR CITY,"1525 S Brand Blvd Glendale, CA 91204",(818) 246-0012
,,,,,IF Sale,"$23,000 ",CAR CITY,"1525 S Brand Blvd Glendale, CA 91204",(818) 246-0012
5,2014,LEXUS RX 350 AWD F SPORT,32158,2T2BK1BA6EC227412,,,,,
,,,,,Bid,"$33,000 ",LEXUS OF PLEASANTON,"4345 Rosewood Drive Pleasanton, CA 94588",(925) 401-3679
,,,,,Bid,"$32,500 ",HIGHLINE MOTORS,"4321 S Mason St Fort Collins, CO 80525",(970) 206-9963
,,,,,SOLD,"$33,250 ",SEWELL LEXUS OF FORT WORTH,,
6,2015,AUDI SQ5 PREMIUM +,5792,WA1CGAFP1FA016630,,,,,
,,,,,Bid,"$47,750 ",NIKU ENTERPRISE,NA,NA
7,2012,GMC YUKON 4X2 V8 DENALI,55526,1GKS1EEF6CR274761,,,,,
,,,,,SOLD,"$34,500 ",CAR STAR MOTORS,"12460 Victory Blvd North Hollywood, CA 91606",(818) 781-5333
8,2012,JAGUAR XF,47270,SAJWA0FB7CLS55135,,,,,
,,,,,Bid,"$22,000 ",NIKU ENTERPRISE,NA,NA
9,2014,AUDI Q7 SLINE PRST,15094,WA1DGAFE7ED000836,,,,,
,,,,,Bid,"$43,500 ",GLOBAL MOTOR SPORTS INC,"5212 Harding Pike Nashville, TN 37205",615-353-9333
,,,,,SOLD,"$46,000 ",AUTOBAHN GALLERY,"5947 Dougherty Rd Dublin, CA 94568",(925) 833-1040
10,2011,BMW 335I 335I,43214,WBADX7C55BE580362,,,,,
,,,,,Bid,"$22,000 ",NIKU ENTERPRISE,NA,NA
11,2010,INFINITI QX56 4X2,37548,5N3ZA0ND4AN905672,,,,,
,,,,,Bid,"$25,500 ",MAC CHURCHILL ACURA,NA,NA
,,,,,IF Sale,"$25,500 ",MAC CHURCHILL ACURA,NA,NA
12,2014,ROLLS ROYC WRAITH,1752,SCA665C50EUX84345,,,,,
,,,,,IF Sale,"$220,000 ",DESERT EUROPEAN MOTORCARS,"71387 CA-111, Rancho Mirage, CA 92270, United States",888-429-5203
13,2009,BMW 535I,91031,WBANW13509C162172,,,,,
,,,,,SOLD,"$11,500 ",PARADISE AUTOMOTIVE GROUP INC,"32592 Valle Rd San Juan Capistrano, CA 92675",(949) 347-2522
14,2006,MERCEDES G500,71722,WDCYR49E46X166580,,,,,
,,,,,Bid,"$40,000 ",UNIQUE AUTO BROKERAGE,,
,,,,,Bid,"$41,000 ",CAR CITY,"1525 S Brand Blvd Glendale, CA 91204",(818) 246-0012
,,,,,Bid,"$40,500 ",GOODFELLAS AUTO GROUP,,
,,,,,SOLD,"$43,000 ",U F O MOTORSPORTS LLC,"2648 E South St Long Beach, CA 90805",(562) 633-5911
15,2011,BMW 550IA 550I AUTO,27499,WBAFR9C51BC270462,,,,,
,,,,,SOLD,"$25,750 ",PARADISE AUTOMOTIVE GROUP INC,"32592 Valle Rd San Juan Capistrano, CA 92675",(949) 347-2522
16,2011,MERCEDES CL63 AMG 6.3L AMG,52425,WDDEJ7EB9BA026914,,,,,
,,,,,Bid,"$40,500 ",SAMIRIDES LLC,NA,NA
,,,,,IF Sale,"$40,500 ",SAMIRIDES LLC,NA,NA
,,,,,SOLD,"$25,750 ",PARADISE AUTOMOTIVE GROUP INC,"32592 Valle Rd San Juan Capistrano, CA 92675",(949) 347-2522
