S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2015,CHEVROLET MALIBU LT,38417,1G11D5SLXFF126216,,,,,SOLEDAD AUTO SALES INC,"$14,100 ","385 Front St Soledad, CA 93960",(831) 678-2002,,,,
2,2012,FIAT 500 TOP,33131,3C3CFFAR8CT277616,,,,,BLUE DIAMOND AUTO SALE,"$7,700 ","2130 Mitchell Rd Ceres, CA 95307",(209) 538-2886,,,,
3,2015,FORD F150 4X4 CR XLT,13256,1FTEW1E84FKD44565,FOR THE ROAD MOTORS LLC,"$28,500 ","610 San Jose Ave Se Ste B Albuquerque, New Mexico 87102-5066
",(602) 692-9969,FOR THE ROAD MOTORS LLC,"$28,500 ","610 San Jose Ave Se Ste B Albuquerque, New Mexico 87102-5066
",(602) 692-9969,,,,
4,2015,FORD F250 4X4 CR XLT,12553,1FT7W2B67FED56631,CHINO HILLS FORD,"$32,250 ","4480 Chino Hills Parkway Chino, CA 91710",(909) 247-1475,VALLEY AUTO SALES,"$32,500 ","8831 Sunland Blvd Sun Valley, CA 91352",(818) 768-5150,,,,
,,,,,VALLEY AUTO SALES,"$32,500 ","8831 Sunland Blvd Sun Valley, CA 91352",(818) 768-5150,,,,,,,,
5,2015,HYUNDAI ELANTRA GT,23019,KMHD35LH0FU237205,,,,,ARNOLD R CARTER,"$12,400 ","1175 Industrial Avenue Suite Z Escondido, CA 92029",760-489-2639,,,,
6,2015,INFINITI QX60 FWD V6,17253,5N1AL0MN1FC514456,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$31,750 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$31,750 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,,,,
,,,,,DRIVERSSELECT,"$31,500 ",NA,NA,,,,,,,,
7,2015,INFINITI QX60 FWD V6,18956,5N1AL0MN0FC518355,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$29,500 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,CARMAX # 7129,"$29,250 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
8,2015,INFINIT QX70 4X2,15513,JN8CS1MU7FM381555,DRIVERSSELECT,"$30,500 ",NA,NA,DRIVERSSELECT,"$30,500 ",NA,NA,,,,
9,2013,JAGUAR XJ 4X2 V6,25210,SAJWA1C73D8V43809,,,,,LUCRA AUTOMOTIVE LLC,"$33,750 ",NA,NA,,,,
10,2014,MERCEDES C250W C250,33462,WDDGF4HB1EG243430,,,,,CAMINO REAL CHEVROLET,"$20,250 ","2401 S Atlantic Blvd Monterey Park, CA 91754",(323) 843-4078,,,,
11,2015,MERCEDES C300W4 C300,9874,55SWF4KB8FU043444,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$28,500 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$28,500 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,,,,
12,2014,RAM 1500 4X4 V8 SLT,27004,1C6RR7GT7ES481051,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$23,000 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,AUTO GALLERY INC,"$23,500 ","2550 Wardlow Rd Corona, CA 92882",(951) 372-0008,,,,
13,2015,CHEVROLET SUBURBAN 4X4 LT,42999,1GNSKJKC4FR212475,CREATIVE AUTO SALES CENTER INC,"$42,000 ","8141 BROADWAY LEMON GROVE, CA 91945",619-698-6437,CREATIVE AUTO SALES CENTER INC,"$42,000 ","8141 BROADWAY LEMON GROVE, CA 91945",619-698-6437,,,,
14,2015,CHEVROLET TAHOE 4X2 LT,40429,1GNSCBKC6FR537986,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$37,000 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$37,000 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,,,,
15,2015,CHEVROLET TAHOE 4X2 LT,43798,1GNSKBKC1FR520287,EQUITY AUTO CENTER LLC,"$36,500 ","5120 W Glendale Ave Glendale, AZ 85301",(623) 466-8779,,,,,,,,
,,,,,AUTO JUNCTION INC,"$36,750 ","1015 N Scottsdale Rd Tempe, AZ 85281",(480) 377-0552,,,,,,,,
16,2015,CHEVROLET TAHOE 4X4 LT,41453,1GNSKBKC4FR255400,,,,,CAR CITY,"$38,000 ",,,,,,
17,2015,DODGE CHARGER 4X2 V6 SE,29895,2C3CDXBG2FH768205,EQUITY AUTO CENTER LLC,"$16,500 ","5120 W Glendale Ave Glendale, AZ 85301",(623) 466-8779,MEZA AUTO SALES,"$17,000 ","1565 N MT Vernon Ave Colton, CA 92324",(909) 825-2321,,,,
18,2014,LEXUS ES 350,27602,JTHBK1GG4E2125198,MARK KIA,"$27,000 ","1000 N Scottsdale Rd Scottsdale, AZ 85257",(480) 425-5300,MARK KIA,"$27,000 ","1000 N Scottsdale Rd Scottsdale, AZ 85257",(480) 425-5300,,,,
19,2015,DODGE DURANGO AWD V6 LIMITED,26881,1C4RDJDG8FC740637,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$27,500 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,,,,,,,,
,,,,,PREMIER CHRYSLER JEEP DODGE RAM OF TRACY,"$27,750 ","3460 Naglee Rd Tracy, CA 95304",(866) 674-6895,,,,,,,,
20,2015,RAM 1500 4X4 V8 BIG HORN,18254,1C6RR7GT3FS625129,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$26,250 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$26,250 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,,,,
21,2015,DODGE DURANGO 4X2 V6 LIMITED,17657,1C4RDHDG3FC781802,EQUITY AUTO CENTER LLC,"$27,250 ","5120 W Glendale Ave Glendale, AZ 85301",(623) 466-8779,CARMAX #7129,"$27,500 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
22,2015,RAM 1500 4X4 V8 BIG HORN,18950,1C6RR7GT3FS640987,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$26,000 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$26,000 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,,,,
23,2015,RAM 1500 4X4 V8 BIG HORN,17915,1C6RR7GT0FS514991,MOJAVE FORD OF BARSTAW -MOJAVE NISSAN OF BARSTAW,"$26,000 ",NA,NA,MOJAVE FORD OF BARSTAW -MOJAVE NISSAN OF BARSTAW,"$26,000 ",N/A,N/A,,,,
24,2015,CHRYSLER 300 4X2 V6 LIMITED,26393,2C3CCAAG7FH749473,,,,,SUS AMIGOS AUTO CENTER INC,"$18,800 ","12233 Valley Blvd El Monte, CA 91733",(626) 455-0250,,,,
25,2015,CHRYSLER 300 4X2 V6 LIMITED,16160,2C3CCAAGXFH853276,THE CAR LEGACY,"$19,800 ","4020 Firestone Blvd South Gate, CA 90280",(323) 249-4600,THE CAR LEGACY,"$19,800 ","4020 Firestone Blvd South Gate, CA 90280",(323) 249-4600,,,,
26,2015,DODGE 1500 4X2 V8 BIG HORN,21850,1C6RR6GT8FS589562,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$23,000 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,HADDAD DODGE,"$23,250 ","3000 Harris Rd Bakersfield, CA 93384",(877) 244-1902,,,,
27,2013,INFINITI G37 AWD X,60642,JN1CV6AR8DM752514,,,,,CARR,"$16,400 ",N/A,N/A,,,,
28,2013,MERCEDES C250W C250,52344,WDDGF4HB6DR295851,STUDIO CITY AUTO GROUP,"$14,600 ","7909 Van Nuys Blvd Ste E Los Angeles, CA 91402",(818) 350-3109,,,,,,,,
29,2013,CADILLAC XTS AWD LUXURY,60328,2G61R5S38D9179630,EQUITY AUTO CENTER LLC,"$16,700 ","5120 W Glendale Ave Glendale, AZ 85301",(623) 466-8779,,,,,,,,
30,2013,FORD C-MAX SEL,39758,1FADP5BU4DL533036,PASO ROBLES FORD LINCOLN MERCURY,"$11,700 ","2401 Oakwood St Paso Robles, CA 93446",(805) 239-3673,,,,,,,,
