S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2010,FORD ESCAPE FWD 4C XLS,120762,1FMCU0C7XAKC15798,,,,,,,,,GUARD AUTO SALES,"$4,400 ","1013 N Harbor Blvd, Santa Ana, CA 92703",(714) 265-1881
2,2007,NISSAN MURANO FWD S,121908,JN8AZ08T87W527742,,,,,,,,,GUARD AUTO SALES,"$4,000 ","1013 N Harbor Blvd, Santa Ana, CA 92703",(714) 265-1881
3,2007,DODGE CHARGER 4X2 V6,128306,2B3KA43R67H624657,,,,,,,,,IVAN AUTO SALES inc,"$3,500 ","3114 45th St Ste 6 West Palm Beach, FL 33407",(561) 844-4447
4,2005,FORD EXPLORER 4X4 V6 XLT,136186,1FMZU73K95UB16021,,,,,,,,,WIN WIN AUTO SALES INC,"$2,000 ",Not applicable,Not applicable
5,1997,FORD F250 4X2 EXT,129559,1FTHX25G7VEC14848,,,,,,,,,WIN WIN AUTO SALES INC,$500 ,Not applicable,Not applicable
6,2007,TOYOTA 4RUNNER 4X2 V6 SR5,141717,JTEZU14R678078526,GB GROUP,"$7,300 ","2570 San Ramon Valley Blvd Ste A206 San Ramon, CA 94583",(925) 244-1225,RIVERSIDE PREMIER MOTORS,"$8,700 ","247 W La Cadena Dr Riverside, CA 92501",(951) 394-3552,,,,
,,,,,RIVERSIDE PREMIER MOTORS,"$8,700 ","247 W La Cadena Dr Riverside, CA 92501",(951) 394-3552,,,,,,,,
7,2007,CHEVROLET 1500 SUB 4X2 V8 LT,157004,1GNFC16037R426082,MARTINEZ USED CARS INC,"$9,500 ","314 Lander Ave Turlock, CA 95380",(209) 634-4496,JESSES USED CARS,"$11,000 ","10653 N Loop Dr Socorro, TX 79927",(915) 872-0454,,,,
8,2006,HONDA CR-V 4X4 EX,123272,JHLRD788X6C000421,FIUZA MOTORS LLC,"$5,250 ","8200 S State St Midvale, UT 84047",(801) 878-9200,SEVEN SEVEN MOTORS,"$5,000 ","793 E Holt Ave, Pomona, CA 91767",(909) 622-7711,,,,
9,2011,HYUNDAI SONATA GLS,139189,5NPEB4AC6BH084234,GANIME MOTORS,"$4,500 ","40332 Saddlebrook St Murrieta, CA 92563",858 864 3829,,,,,PREMIUM FINANCE,"$4,600 ","2490 Harbor Blvd Costa Mesa, CA 92626",(714) 545-2081
10,2003,HONDA ACCORD 4C EX,156984,1HGCM72623A027230,,,,,,,,,EXCEPTIONAL AUTO SALES,"$2,900 ","2155 E 5th Ave Columbus, OH 43219",(614) 252-9495
11,1999,HONDA ACCORD LX,205878,1HGCG3244XA004925,,,,,,,,,STAR MOTORS,$550 ,"32955 Calle Perfecto,San Juan Capistrano, CA 92675",(949) 443-1970
12,2006,LEXUS GS 300 4X2,129297,JTHBH96S865005293,U SAVE AUTO SALES INC,"$5,900 ","3010 Fulton Ave Sacramento, CA 95821",(916) 488-1230,DESERT IMPORT/EXPORT AUTO SALES,"$6,000 ","74990 Joni Dr Unit 1F Palm Desert, CA 92260",(760) 895-5285,,,,
,,,,,DESERT IMPORT/EXPORT AUTO SALES,"$6,000 ","74990 Joni Dr Unit 1F Palm Desert, CA 92260",(760) 895-5285,,,,,,,,
13,2002,DODGE RAM 1500 4X2 QD,60289,1D7HA18ZX2S667745,U SAVE AUTO SALES INC,"$2,100 ","3010 Fulton Ave Sacramento, CA 95821",(916) 488-1230,U SAVE AUTO SALES INC,"$2,100 ","3010 Fulton Ave Sacramento, CA 95821",(916) 488-1230,,,,
14,2013,RAM 1500 4X4 V8 EXPRESS,25926,1C6RR7FT2DS521519,ACURA OF RENO,"$22,500 ","11550 S Virginia Ave Reno, NV 89511",(775) 229-7777,,,,,,,,
15,2004,GMC ENVOY 4X2 SLT,96021,1GKDS13S842139399,,,,,,,,,RANCHO PUEBLO VIEJO INC,"$2,900 ","740 W Holt Ave, Pomona, CA 91768",(909) 622-6408
16,2003,INFINITI G35,163452,JNKCV51E53M007222,U SAVE AUTO SALES INC,"$1,700 ","3010 Fulton Ave Sacramento, CA 95821",(916) 488-1230,U SAVE AUTO SALES INC,"$1,700 ","3010 Fulton Ave Sacramento, CA 95821",(916) 488-1230,,,,
17,2014,TOYOTA PRIUS C 1,87328,JTDKDTB38E1558038,,,,,SIERRA TOYOTA SCION,"$10,750 ","43301 12th St W Lancaster, CA 93534",(661) 948-0731,,,,
18,2002,TOYOTA TACOMA 4X2 V6 PRERUNNER,400136,5TEGN92N42Z082363,,,,,INTER AUTO TRADE INC,"$5,600 ",801 S Garfield Ave Alhambra CA 91801,(626) 940-5576,,,,
19,2012,KIA SORENTO FWD 4C EX,263946,5XYKU4A65CG225732,WESTFALL AUTO SALES,"$5,250 ","938 E Market St Cadiz, OH 43907",(740) 942-3624,TRUCK HEAVY FINANCIAL,"$7,500 ",NA,NA,,,,
,,,,,TRUCK HEAVY FINANCIAL,"$7,500 ",NA,NA,,,,,,,,
