S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
,,,,,SEALS AUTO IMPORT SRL,"$7,250 ",NA,NA,,,,,,,,
,,,,,AUTO SAILS INC,"$6,500 ",NA,NA,,,,,,,,
20,2001,FORD EXPEDITION XLT XLT,129570,1FMRU15W41LB82831,U SAVE AUTO SALES INC,"$1,600 ","3010 Fulton Ave Sacramento, CA 95821",(916) 488-1230,U SAVE AUTO SALES INC,"$1,600 ","3010 Fulton Ave Sacramento, CA 95821",(916) 488-1230,,,,
21,1999,MAZDA MIATA MX-5,56141,JM1NB3530X0117866,,,,,BENSON AUTO SALES INC,"$3,600 ","2829 Route 764 Duncansville, PA 16635",(814) 695-9819,,,,
22,1999,FORD EXPLORER 4X4 V6 ED BAUER,214219,1FMDU34EXXZA41749,,,,,B & BT AUTO SALES AND SCAO,$400 ,"1655 East 6th st STE A-4 # 102,  Corona, CA 92879",(951) 389-4291,,,,
23,2012,NISSAN TITAN 4X4 CR SV,87493,1N6AA0FJ0CN318755,STREET DREAMS AUTO SALES,"$17,250 ","2775 Kietzke Lane Reno, NV 89502",(775) 336-2277,STREET DREAMS AUTO SALES,"$17,250 ","2775 Kietzke Lane Reno, NV 89502",(775) 336-2277,,,,
24,2009,NISSAN MURANO AWD LE,107485,JN8AZ18W99W153077,,,,,WILSON TOYOTA,"$11,500 ","1100 Iowa St Bellingham, WA 98229",(360) 676-0600,,,,
25,1999,DODGE DURANGO 4X2 V8,227816,1B4HR28Z7XF692866,,,,,GT AUTO SALES,$800 ,"690 Noble St, Madera, CA 93637",(559) 673-9900,,,,
26,2009,CHEVROLET IMPALA V6 3.5L LT,95566,2G1WT57K991134845,AUTO WORLD SALES AND LEASING,"$5,100 ","409 S Glendale Ave,Ste A,Glendale, CA 91205",(818) 246-1500,AUTO WORLD SALES AND LEASING,"$5,100 ","409 S Glendale Ave,Ste A,Glendale, CA 91205",(818) 246-1500,,,,
27,2007,CHEVROLET COLORADO 4X2 EX LT W/1LT,104081,1GCCS199578105658,,,,,K/J AUTO EXCHANGE,"$8,500 ","2430 Tapo St Simi Valley, CA 93063",(805) 527-5265,,,,
28,2006,TOYOTA 4RUNNER 4X4 V6 SR5,192811,JTEBU14R460103129,CAR 1234 INC,"$6,300 ","982 Broadway El Cajon, CA 92021",(619) 647-4841,CAR 1234 INC,"$6,300 ","982 Broadway El Cajon, CA 92021",(619) 647-4841,,,,
29,2007,CHEVROLET 2500 SLV 4X4 EX WORK TRUCK,117704,1GCHK29U77E145872,MOTOR CITY,"$8,750 ",NA,NA,MOTOR CITY,"$8,750 ",NA,NA,,,,
30,2009,FORD FLEX FWD LIMITED,114105,2FMDK53C29BA23270,,,,,AUTOSELL,"$9,500 ",Not applicable,Not applicable,,,,
31,2007,BMW 550IA,149339,WBANB53597CP05731,"480 MOTORSPORTS, LLC","$3,700 ",Not applicable,Not applicable,VIZA AUTO,"$4,000 ",N/A,N/A,,,,
32,2012,VOLKSWAGEN PASSAT 4C TDI SE,99483,1VWBN7A34CC015791,FIUZA MOTORS LLC,"$8,700 ","8200 S State St Midvale, UT 84047",(801) 878-9200,WINN SANTA MARIA HYUNDAI,"$9,000 ","800 W Main St Santa Maria, CA 93458",(805) 349-8500,,,,
33,2004,HONDA PILOT AWD EX,118987,2HKYF18514H623689,"480 MOTORSPORTS, LLC","$3,400 ",Not applicable,Not applicable,AUTO MARKET AZ LLC,"$4,500 ","507 N Scottsdale Rd Scottsdale, AZ 85257",(480) 300-5500,,,,
,,,,,AUTO MARKET AZ LLC,"$4,500 ","507 N Scottsdale Rd Scottsdale, AZ 85257",(480) 300-5500,,,,,,,,
,,,,,STUNNING AUTO,"$4,400 ","2015 Marconi Ave Sacramento, CA 95821",(916) 802-1447,,,,,,,,
34,2010,FORD FOCUS SE,101066,1FAHP3FN5AW292056,,,,,CAMACHO AUTO SALES INC,"$4,800 ","44446 N Sierra Hwy,Lancaster, CA 93534",(661) 945-2609,,,,
35,2007,JAGUAR X-TYPE 3.0,105520,SAJWA51A57WJ26018,,,,,VANCAR LIGHT TRUCK SALES LTD,"$2,700 ","12880 King George Hwy Surrey, BC V3T 2S9",(604) 580-2929,,,,
36,2004,PONTIAC SUNFIRE BASE,128544,1G2JB12F147296315,,,,,DREAMERS AUTO SALES,$700 ,"3808 Baldwin Blvd Corpus Christi, TX 78405",(361) 888-7792,,,,
37,2010,FORD F150 4X2 RG XL,239430,1FTMF1CW3AKB96754,J J WHOLESALE,"$4,900 ","5909 Whittier BlvdLos Angeles, CA 90022",(323) 346-0254,J J WHOLESALE,"$4,900 ","5909 Whittier BlvdLos Angeles, CA 90022",(323) 346-0254,,,,
38,2004,FORD F150 4X2 CR XLT,173622,1FTRW12WX4KC24643,,,,,B & S AUTO SALES INC,"$4,600 ","2500 W Orangethorpe Ave, Fullerton, CA 92833",(714) 525-5033,,,,
39,2005,AUDI A4 AWD 4C 1.8T,139727,WAULC68E55A013607,,,,,STAR MOTORS ,"$1,400 ","32955 Calle Perfecto,San Juan Capistrano, CA 92675",(949) 443-1970,,,,
40,2007,GMC YUK XL DEN AWD,107543,1GKFK66827J293123,,,,,CARMAX # 7136,"$18,000 ","1131 Central Ave Duarte, CA 91010",(626) 357-9972,,,,
41,2005,MERCEDES CLK320A,93572,WDBTK65G55T045634,"480 MOTORSPORTS, LLC","$6,000 ",Not applicable,Not applicable,,,,,,,,
42,1999,FORD TAURUS V6 SE,71172,1FAFP53UXXG231450,,,,,PALM DESERT AUTO,"$1,000 ","74725 Joni Dr Palm Desert, CA 92260",(760) 895-8001,,,,
43,2002,TOYOTA TACOMA 4X2 RG PRERUNNER,133488,5TENM92N12Z036337,ZUBES IMPORT AUTO SALES,"$5,500 ","2974 S Higuera St San Luis Obispo, CA 93401",(805) 541-9823,DOLLAR BILL AUTO SALES INC,"$6,500 ","1234 E Center Ave Visalia, CA 93292",(559) 739-2886,,,,
44,2001,JAGUAR XK8 XKR,124010,SAJDA41B91PA11775,"480 MOTORSPORTS, LLC","$5,250 ",Not applicable,Not applicable,MATRIX AUTO SALES,"$6,250 ","2141 San Ramon Valley Blvd San Ramon, CA 94583",925.833.2727,,,,
,,,,,MATRIX AUTO SALES,"$6,250 ","2141 San Ramon Valley Blvd San Ramon, CA 94583",925.833.2727,,,,,,,,
45,2001,CHEVROLET 2500 4X4 EXT SILVER LT,129097,1GCHK29G71E277399,,,,,,,,,WEST COAST MOTORS LLC,"$4,300 ","3011 N 73rd Ste 111 Scottsdale, AZ 85251",(602) 402-3987
46,2010,TOYOTA PRIUS,94055,JTDKN3DU7A0189420,DRIVETIME,"$9,250 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,SIERRA TOYOTA SCION,"$10,400 ","43301 12th St W Lancaster, CA 93534",(661) 948-0731,,,,
47,2006,FORD EXPEDIT 4X2 LIMITED,117170,1FMFU19556LA03790,,,,,AUTOSELL,"$5,900 ",Not applicable,Not applicable,,,,
48,2008,JEEP LIBERTY 4X2 SPORT,125000,1J8GP28K78W188139,,,,,ANGEL AUTO SALES,"$4,800 ","9846 Garvey Ave El Monte, CA 91733",(626) 350-5988,,,,
49,2007,CADILLAC DTS,135212,1G6KD57Y17U171738,,,,,B & S AUTO SALES INC,"$2,700 ","2500 W Orangethorpe Ave, Fullerton, CA 92833",(714) 525-5033,,,,
50,2012,MITSUBISHI LANCER FWD 4C ES,66477,JA32U2FU3CU016496,DRIVETIME,"$7,100 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,DRIVETIME,"$7,100 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
51,2002,TOYOTA HIGHLNDR FWD V6,144070,JTEGF21A620031669,,,,,INTER AUTO TRADE INC,"$8,700 ",801 S Garfield Ave Alhambra CA 91801,(626) 940-5576,,,,
52,2004,TOYOTA CAMRY V6 XLE,106868,4T1BF32K14U070172,,,,,ADVANCE AUTO GROUP,"$4,700 ","2116 Troy Ave South El Monte, CA 91733",(626) 575-0252,,,,
53,2006,MERCEDES S430V,108536,WDBNG70J86A473634,,,,,PREMIUM WHEELS USA LLC,"$6,500 ","1974 Placentia Ave, Costa Mesa, CA 92627",(949) 423-7281,,,,
54,2003,CADILLAC ESCALADE EXT PREMIUM,143224,3GYEK63N93G229944,,,,,CAR EXPO,"$6,200 ","7913 Firestone Blvd Downey, CA 90241",(562) 861-0001,,,,
55,2004,HUMMER H2,102824,5GRGN23U24H116008,"480 MOTORSPORTS, LLC","$9,750 ",Not applicable,Not applicable,,,,,,,,
56,2006,FORD EXPLORER 4X2 V6 XLT,164486,1FMEU63E46UB06405,,,,,CAR EXPO,"$3,100 ","7913 Firestone Blvd Downey, CA 90241",(562) 861-0001,,,,
57,2003,TOYOTA COROLLA LE,210466,1NXBR32E63Z075660,CAMEX AUTO SALE,"$1,700 ",Not applicable,Not applicable,,,,,,,,
58,2002,HYUNDAI SONATA LX V6,143489,KMHWF35H12A526901,,,,,EXCEPTIONAL AUTO SALES,$900 ,"2155 E 5th Ave Columbus, OH 43219",(614) 252-9495,,,,
59,1999,HONDA ACCORD,253704,JHMCG6658XC021426,MPG AUTO SALES,"$1,150 ",NA,NA,STAR MOTORS,"$1,100 ","32955 Calle Perfecto,San Juan Capistrano, CA 92675",(949) 443-1970,,,,
60,2006,CHEVROLET IMPALA V6 LT 3.5L,116904,2G1WT55KX69412085,,,,,,,,,SHIVA ENTERPRISE AUTO SALES,"$1,700 ","1829 18th St 93301-4308, Bakersfield (CA)",6613257777
61,2004,TOYOTA CAMRY 4C,141742,4T1BE32K54U863347,,,,,C/N AUTO SALES,"$3,800 ","500 W La Habra Blvd,  La Habra, California 90631",(562) 694-5599,,,,
62,2007,CADILLAC CTS,175427,1G6DP577470194901,,,,,AUTO SERVICIO RAMIREZ SA DE CV,$600 ,Not applicable,Not applicable,,,,
63,2006,BMW 550IA,141537,WBANB53516CP01347,DESERT AUTO DEALER,"$3,900 ","74822 Joni Dr Ste 5 Palm Desert, CA 92260",(760) 660-3300,,,,,FOOTHILL AUTO SALES N LOAN,"$4,000 ","14674 Foothill Blvd, Fontana, CA 92335",(909) 346-0484
64,2002,PONTIAC GRAND AM V6 GT,159144,1G2NW52E02M642678,,,,,,,,,JPJ AUTO INC,"$1,600 ","2801 E Cesar E Chavez Ave,Los Angeles, CA 90033",(323) 261-0377
65,2002,JEEP LIBERTY 4X4 V6 LIMITED,175978,1J4GL58KX2W200158,MPG AUTO SALES,"$1,400 ",NA,NA,MPG AUTO SALES,"$1,400 ",NA,NA,,,,
66,2008,FORD F150 4X2 EX XL,173091,1FTRX12WX8FB87914,,,,,AUTOMOTRIZ ERIKA SA DE CV,"$4,200 ","TERCERA NO. 539, MEXICALI, BAJA CALIFORNIA, 21720",658-516-2269,,,,
67,2006,VOLKSWAGEN BEETLE 5C,82825,3VWRG31CX6M415438,,,,,,,,,CALIFORNIA MOTOR CARS,"$3,000 ","953 N Citrus Ave Covina, CA 91722",(626) 966-3858
68,2006,PORSCHE CAYENNE V8 S,138081,WP1AB29P36LA62749,,,,,,,,,INTEGRITY MOTORS GROUP,"$4,600 ",5 Octavia St San Rafael CA 94901,na
69,2003,FORD E350 CARGO V8 SUPER,167272,1FTSS34L43HA62242,,,,,,,,,TEULITOS ENTERPRISES INC,"$2,400 ","1655 E 6th St Corona, CA 92879",Not applicable
70,2015,MERCEDES S550V S550,15518,WDDUG8CB4FA116092,AUTO JUNCTION INC,"$70,500 ","1015 N Scottsdale Rd Tempe, AZ 85281",(480) 377-0552,,,,,AUTO JUNCTION INC,"$70,500 ","1015 N Scottsdale Rd Tempe, AZ 85281",(480) 377-0552
71,2008,BMW 328XI 328XI,125101,WBAVC93568K041559,BLUES CARS AND TRUCKS,"$5,250 ","1267 W Holt Blvd, Ontario, CA 91762
",888-293-1867,,,,,JUNCO MOTORS,"$5,800 ","10830 Garvey Ave El Monte, CA 91733",(626) 228-0014
72,2011,CHEVROLET IMPALA LT,123481,2G1WG5EK8B1158714,,,,,,,,,CARAMERICA INC,"$3,800 ","21308 Pathfinder Ste 112, Diamond Bar, CA 91765",(909) 996-6602
73,2000,PORSCHE 911 CAB,140104,WP0CA2991YS651435,"480 MOTORSPORTS, LLC","$8,500 ",Not applicable,Not applicable,,,,,"480 MOTORSPORTS, LLC","$8,500 ",Not applicable,Not applicable
74,2007,TOYOTA CAMRY V6 XLE,123053,JTNBK46K373011033,,,,,,,,,FOOTHILL AUTO SALES N LOAN,"$5,400 ","14674 Foothill Blvd, Fontana, CA 92335",(909) 346-0484
75,2001,FORD EXPEDIT 4X4 V8 ED BAUER,263373,1FMPU18L81LA04445,,,,,,,,,WEST COAST MOTORS,$300 ,"6953 Lankershim Blvd North Hollywood, CA 91605",(818) 255-2229
76,2000,FORD EXPEDIT 4X2 V8 XLT,70100,1FMRU1568YLA37897,CACTUS JACKS AUTO SALES,"$3,800 ","1660 W Bell Rd Phoenix, AZ 85023",(602) 788-8300,CACTUS JACKS AUTO SALES,"$3,800 ","1660 W Bell Rd Phoenix, AZ 85023",(602) 788-8300,,,,
77,2004,JEEP CHEROKEE 4X2 6C LAREDO,100908,1J4GX48S94C385144,CACTUS JACKS AUTO SALES,"$4,500 ","1660 W Bell Rd Phoenix, AZ 85023",(602) 788-8300,AUTO ACTION,"$4,600 ","5801 Fairmount Ave San Diego, CA 92120",(619) 281-3333,,,,
78,2001,GMC 1500 SIERRA 4X2 SLE,215193,2GTEC19V411227022,,,,,,,,,BARBAS AUTO INC,"$1,600 ","1655 E 6th St Corona, CA 92879",Not mentioned
79,2007,CHEVROLET TAHOE 4X2 V8,156359,1GNFC13087R136294,,,,,,,,,CORPORATE MOTORS INC,"$6,400 ","7534 Scout Ave, Bell Gardens, CA 90201",(562) 928-3970
80,2000,CHEVROLET TAHOE 4X2 V8 LS,190882,1GNEC13T5YJ193347,,,,,,,,,MAC MOTORSPORTS,"$1,850 ","1205 W Valley Blvd, Colton, CA 92324",(909) 825-8296
81,2011,JEEP PATRIOT FWD 4C,55590,1J4NT1GAXBD102414,,,,,,,,,WESTERN MOTOR/AIDE RENT A CAR,"$7,100 ",NA,NA
82,2010,HONDA CR-V 4X4 LX,122358,JHLRE4H39AC001696,,,,,,,,,SARABIA AUTO SALES LLC,"$8,800 ","83197 Requa Ave Indio, CA 92201",(760) 775-6440
83,2012,VOLKSWAGEN JETTA 5C SE,58874,3VWDP7AJ3CM314852,DRIVETIME,"$7,800 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,,,,,
,,,,,DESERT AUTO DEALER,"$7,500 ","74822 Joni Dr Ste 5 Palm Desert, CA 92260",(760) 660-3300,,,,,,,,
84,2009,FORD MUSTANG V6 CPE,97758,1ZVHT80N995124852,,,,,,,,,NUESTRA GENTE AUTO CENTER,"$4,800 ","14343 Main St Hesperia, CA 92345",(760) 843-6640
85,2005,NISSAN TITAN,94419,1N6AA07A65N575002,,,,,VERAXS CORP,"$9,000 ","7594 Indiana Ave, Riverside, CA 92504",(951) 352-1400,,,,
86,2007,GMC 1500 YUK XL 4X4 SLT,154516,1GKFK16327J361542,,,,,,,,,VERAXS CORP,"$9,000 ","7594 Indiana Ave, Riverside, CA 92504",(951) 352-1400
