S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2007,DODGE CHARGER 4X2 V8 SRT8,15583,2B3KA73WX7H685081,ONLINE AUTOMOTIVE GROUP LLC,"$20,750","23910 N 19th Ave Ste 22 Phoenix, AZ 85085",(623) 581-3060,,,,,AUTO DEPOT,"$21,000","15836 Valley Blvd Fontana, CA 92335",(909) 355-7223
2,2014,MITSUBISHI MIRAGE DE,25694,ML32A3HJ3EH009579,COURTESY RENTAL,"$6,400",NA,NA,,,,,,,,
3,2009,LINCOLN MKX FWD,105336,2LMDU68C59BJ07130,,,,,GARCIA AUTO SALES,"$7,500","519 E Market St Salinas, CA 93905",(831) 905-3761,,,,
4,2013,TOYOTA TACOMA 4X4 V6,31772,3TMLU4EN6DM116755,FINDLAY HYUNDAI SUBARU,"$26,500","1405 S Sunland Dr Saint George, UT 84790
",(435) 688-7272,,,,,,,,
,,,,,WESTERN FLEET SERVICES,"$27,250","15600 E 19th Avenue Aurora, CO 80011",(303) 361-0096,,,,,,,,
5,2012,RAM 1500 4X4 CR LARAMIE,25340,1C6RD7NT1CS255229,VOLKSWAGEN OF MURRIETA,"$31,250","41300 Date St Murrieta, CA 92562",(855) 225-1609,STREET DREAMS AUTO SALES,"$32,000","2775 Kietzke Lane Reno, NV 89502",(775) 336-2277,,,,
6,2012,TOYOTA FJ CRUISER 4X4,17115,JTEBU4BF2CK145583,,,,,STG AUTO GROUP,"$31,250","1153 W Holt Blvd Ontario, CA 91762",(909) 984-6595,,,,
7,2014,TOYOTA TUNDRA 4X4 CR SR5,33201,5TFDY5F14EX323859,FINDLAY HYUNDAI SUBARU,"$32,750","1405 S Sunland Dr Saint George, UT 84790
",(435) 688-7272,FINDLAY HYUNDAI SUBARU,"$32,750","1405 S Sunland Dr Saint George, UT 84790
",(435) 688-7272,,,,
8,2013,KIA SORENTO FWD 4C LX,29068,5XYKT3A10DG348096,,,,,SOUTHERN FINANCIAL,"$10,000",NA,NA,,,,
9,2001,TOYOTA AVALON XL,144901,4T1BF28B81U125942,VALLEYS BEST AUTO SALES,"$1,800","7503 Reseda Blvd, Reseda, CA 91335",(818) 600-8159,JOHNNYS MOTORS INC,"$1,900","1635 W 5th St Santa Ana, CA 92703",(714) 540-1488,,,,
