S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2010,CHRYSLER TOWN & COUNTRY TOURING,107888,2A4RR5D13AR450854,,,,,CARSON NISSAN,"$7,200 ","1505 E 223rd St Carson, CA 90745",(310) 221-5119,,,,
2,2006,BMW 325CI,102478,WBABV13496JT24806,PROPER CHOICE AUTO SALES LLC,"$6,100 ","2230 W Chapman Ave Ste 129 Orange, CA 92868",(949) 345-9410,SOUTH CALI AUTO,"$6,200 ","501 S Coast Hwy, Oceanside, CA 92054",(760) 828-3203,,,,
3,1994,CHEVROLET CAMARO Z28,133185,2G1FP22P0R2191063,GLENDORA MOTORSCARS,"$2,300 ","612 E Rt 66 Glendora, CA 91740",(626) 335-0555,GLENDORA MOTORSCARS,"$2,300 ","612 E Rt 66 Glendora, CA 91740",(626) 335-0555,,,,
4,2006,CHRYSLER 300 4X2 V8 C,147044,2C3LA63H56H519102,,,,,SIMPLE AUTO SALES,"$4,800 ","8787 Monterey rd Gilroy, CA 95020",(408) 842-1514,,,,
5,2009,CHEVROLET IMPALA V6 3.5L LT,88963,2G1WT57N291172962,CACTUS JACKS AUTO SALES,"$6,650 ","1660 W Bell Rd Phoenix, AZ 85023",(602) 788-8300,CACTUS JACKS AUTO SALES,"$6,650 ","1660 W Bell Rd Phoenix, AZ 85023",(602) 788-8300,,,,
6,2002,LEXUS LS 430,89313,JTHBN30F320070366,CACTUS JACKS AUTO SALES,"$7,600 ","1660 W Bell Rd Phoenix, AZ 85023",(602) 788-8300,CACTUS JACKS AUTO SALES,"$7,600 ","1660 W Bell Rd Phoenix, AZ 85023",(602) 788-8300,,,,
7,2011,KIA SOUL,106187,KNDJT2A22B7259767,GLENDORA MOTORSCARS,"$5,900 ","612 E Rt 66 Glendora, CA 91740",(626) 335-0555,GANAS AUTO ,"$6,500 ",7973 Indiana Ave RiversideCA92504-4058,(951) 785 0559,,,,
8,2010,CHRYSLER TOWN & COUNTRY TOURING,70897,2A4RR5D12AR221856,AUTOMATCH USA,"$7,400 ","3300 Harrison St Ste 13 Riverside, CA 92503",(951) 870-1286,DRIVETIME,"$8,500 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
9,2006,BMW 330I,103507,WBAVB33546PS11708,,,,,CAVALLINO LUXURY MOTORS LLC,"$7,400 ","4734 E Speedway Blvd Tucson, AZ 85712",(520) 437-7292,,,,
10,2010,LEXUS ES 350,53570,JTHBK1EG5A2403510,,,,,PUENTE HILLS SUBARU,"$16,000 ","17801 E Gale Ave City Of Industry, CA 91748",(888) 450-8814,,,,
11,2009,JEEP LIBERTY 4X4 SPORT,67207,1J8GN28KX9W504334,,,,,BULLDOG BILL MOTORS LLC,"$10,000 ",NA,NA,,,,
12,2002,CHEVROLET CORVETTE,28663,1G1YY22G425110517,CITY CHEVROLET,"$14,500 ","2111 Morena Blvd San Diego, CA 92110",(619) 677-6597,,,,,,,,
13,2011,BUICK REGAL CXL RL2,66748,W04GP5EC1B1076540,LITHIA SUBARU OF FRESNO,"$9,300 ","5499 N Blackstone Ave Fresno, CA 93710",(559) 438-6200,LITHIA SUBARU OF FRESNO,"$9,300 ","5499 N Blackstone Ave Fresno, CA 93710",(559) 438-6200,,,,
14,2015,ACURA TLX FWD 4C,13498,19UUB1F30FA011054,CERRITOS ACURA,"$25,000 ","18827 Studebaker Rd Cerritos, CA 90703",(888) 321-6797,CERRITOS ACURA,"$25,000 ","18827 Studebaker Rd Cerritos, CA 90703",(888) 321-6797,,,,
15,2012,TOYOTA CAMRY V6,21366,4T1BK1FK6CU008680,,,,,CARMAX # 7136,"$15,100 ","1131 Central Ave Duarte, CA 91010",(626) 357-9972,,,,
16,2007,TOYOTA TUNDRA 4X2 CR LIMITED,71170,5TBEV58177S455994,,,,,FAMILY AUTO SALES,"$21,000 ","933 S Western Ave Los Angeles, CA 90006",(213) 507-8432,,,,
17,2014,TOYOTA PRIUS 2,14469,JTDKN3DU3E1754567,,,,,DCH TOYOTA OF TORRANCE,"$13,700 ","2909 Pacific Coast Hwy Torrance, CA 90505",(310) 325-7500,,,,
18,2008,DODGE RAM 1500 4X4 V8,104016,1D7HU18208J220480,WASATCH AUTO GROUP LLC,"$12,800 ",not applicable,not applicable,DIRECT AUTO SALES INC,"$13,200 ","21515 Mission Blvd Hayward, CA 94541",(510) 886-1030,,,,
,,,,,DIRECT AUTO SALES INC,"$13,200 ","21515 Mission Blvd Hayward, CA 94541",(510) 886-1030,,,,,,,,
19,2010,FORD EDGE FWD SEL,92600,2FMDK3JC0ABA36904,,,,,DRIVETIME,"$9,700 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
