S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2014,CHEVROLET MALIBU LT,1G11E5SL1EF230878,40642,,,,,C / A MOTORS,"$13,700","4608 Rudnick Court Bakersfield, CA",(661) 834-8410,,,,
2,2015,CHEVROLET MALIBU LTZ,1G11F5SL4FF177642,29112,PREMIER AUTO CENTER,"$14,800","1223 N Batavia St Orange, CA 92867-4612",714-289-4500,PREMIER AUTO CENTER,"$14,800","1223 N Batavia St Orange, CA 92867-4612",714-289-4500,,,,
3,2014,CHEVROLET MALIBU LTZ,1G11H5SL6EF296558,37184,,,,,WESTERN MOTORS/AIDE RENT A CAR,"$14,300",N/A,N/A,,,,
4,2015,CHEVROLET TAHOE 4X2 LT,1GNSCBKCXFR228750,41719,,,,,AUTOMOTRIZ MICHOACAN,"$37,250","1341 N Mt Vernon Colton Ca Colton, CA 92324",(909) 206-1420,,,,
5,2014,CHRYSLER 300 4X2 V6 300C,2C3CCAEG2EH382331,25397,,,,,BALL HONDA,"$18,800","2135 National City Blvd National City, CA 91950",(888) 708-7251,,,,
6,2015,CHRYSLER 300 4X2 V6,2C3CCAAG1FH779729,18580,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$19,250","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,THE HERTZ CORPORATION,"$19,600",,,,,,
,,,,,THE HERTZ CORPORATION,"$19,600","43285 Auto Mall Cir Fremont, CA 94538",(510) 687-9771,,,"43285 Auto Mall Cir Fremont, CA 94538",(510) 687-9771,,,,
7,2015,DODGE DART SXT,1C3CDFBB7FD310008,27160,FINDLAY VOLKSWAGEN,"$11,200","983 Auto Show Dr Henderson, NV 89014",(702) 558-6600,C / A MOTORS,"$11,400","4608 Rudnick Court Bakersfield, CA",(661) 834-8410,,,,
8,2015,DODGE DURANGO 4X2 V6 LIMITED,1C4RDHDG4FC863800,16848,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$27,000","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$27,000","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,,,,
9,2015,DODGE DURANGO AWD V6 LIMITED,1C4RDJDGXFC789452,21194,,,,,ROCKY MOUNTAIN MOTORS,"$28,500","8304 S State St Midvale, UT 84047",(801) 566-9414,,,,
10,2015,DODGE DURANGO AWD V6 LIMITED,1C4RDJDG0FC837427,23267,,,,,ROCKY MOUNTAIN MOTORS,"$28,500","8304 S State St Midvale, UT 84047",(801) 566-9414,,,,
11,2015,FORD EDGE AWD SUV TITANIUM,2FMTK4K98FBB31271,18823,AUTO GALLERY,"$28,000","2550 Wardlow Rd Corona, CA 92882",(951) 372-0008,CARMAX # 7129,"$28,750","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
