S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2007,CADILLAC ESCAL ESV AWD,1GYFK66897R245609,160476,,,,,TUMEJO AUTO FLEET,"$13,400 ","8625 Sepulveda Blvd North Hills, CA 91343",818-370-5677,,,,
2,2002,TOYOTA CAMRY V6 LE,4T1BF32K12U007523,129817,,,,,LEZMA AUTO SALES,"$3,300 ","724 W Pacific Coast Hwy Los Angeles, CA 90744",(310) 513-9841,,,,
3,2006,INFINITI G35,JNKCV51E56M511077,190384,,,,,SIOUX FORD LLC,"$4,000 ","4101 West 41 St Sioux Falls, SD 57106",877-460-7933,,,,
4,2010,TOYOTA COROLLA S,1NXBU4EE8AZ333724,154483,,,,,SARALEGUI AUTO SALES,"$6,000 ",NA,NA,,,,
5,2007,AUDI Q7 V6,WA1AY74L87D034873,139804,,,,,J&G ENTERPRISES,"$6,300 ","114 S 9th Ave Ste A La Puente, CA 91746",(626) 961-4002,,,,
6,2008,VOLKSWAGEN EOS 4C LUXURY,WVWFA71F18V026897,95735,,,,,SANTA MONICA EURPEANS,"$6,300 ","1630 Santa Monica Blvd Santa Monica, CA 90404",(310) 829-2500,,,,
7,2000,MERCEDES CLK430A,WDBLK70GXYT029849,1,,,,,PMI,"$1,300 ",NA,NA,,,,
8,2008,VOLVO S80 FWD 6C 3.2L,YV1AS982481070755,148539,,,,,EDDIES AUTO SALES,"$3,300 ","7905 Van Nuys Blvd. # V Los Angeles, CA 91402",(818) 201-8682,,,,
9,2006,AUDI S4,WAUGL78E56A006455,90312,,,,,ASAY'S AUTOS LLC,"$10,250 ",not applicable,not applicable,,,,
10,2011,INFINITI M37 4X2,JN1BY1APXBM322498,61270,,,,,STG AUTO GROUP,"$21,500 ","1153 W Holt Blvd Ontario, CA 91762",(909) 984-6595,,,,
11,2014,AUDI R8 V8,WUAAUAFG4EN000602,6567,INTEGRITY RV,"$88,000 ",Not applicable,Not applicable,,,,,INTEGRITY RV,"$88,000 ",Not applicable,Not applicable
12,2014,HONDA ODYSSEY LX,5FNRL5H21EB056216,111840,,,,,KARPLUS WAREHOUSE INC,"$16,000 ","10103 San Fernando Rd Pacoima, CA 91331",(888) 379-8896,,,,
13,2011,LEXUS IS 250 4X2,JTHBF5C28B5141324,65264,,,,,,,,,AUSTRA MOTORS,"$14,500 ","15626 Hawthorne Blvd Lawndale, CA 90260",(310) 973-0409
14,2014,HONDA ODYSSEY TOUR ELITE,5FNRL5H95EB008344,51068,,,,,NORM REEVES HONDA SUPERSTORE WEST COVINA,"$26,750 ","1840 E Garvey Ave South West Covina, CA 91791",(888) 694-5544,,,,
15,2007,CHEVROLET 2500 SLV 4X4 EX,1GCHK29617E512427,176471,AUTO PAWN SAN DIEGO,"$11,250 ","8939 Troy St Spring Valley, CA 91977",(619) 464-2131,THE TRUCK/SUV CENTER,"$15,250 ","5301 Lake Murray Blvd La Mesa, CA 91942",(619) 668-0001,,,,
16,2010,TOYOTA PRIUS,JTDKN3DU7A0009689,64154,,,,,,,,,SAS AUTO NET LLC,"$9,250 ",Not applicable,Not applicable
17,2010,CHEVROLET 1500 4X4 CR 2HY,3GCXKUEJ0AG285281,49861,,,,,HOLLYWOOD RIDES INC,"$21,000 ","7909 Van Nuys Blvd Ste A Van Nuys, CA 91402",(818) 925-5955,,,,
18,2013,FORD EDGE FWD V6 SEL,2FMDK3JC3DBB14600,48897,BILL LUKE FIAT,"$15,700 ","7833 S Autoplex LP Tempe, AZ 85284",(480) 598-4031,BILL LUKE FIAT,"$15,700 ","7833 S Autoplex LP Tempe, AZ 85284",(480) 598-4031,,,,
19,1999,JEEP WRANGLER 6C SAHARA,1J4FY49S8XP444575,124598,,,,,,,,,THE AUTO DISTRICT LLC,"$9,250 ","3772 Roosevelt St Suite B Riverside, CA 92503",(951) 977-9501
20,2005,TOYOTA TUNDRA 4X2 EX SR5,5TBRU34135S446947,198874,GLAZZY AUTO SALES,"$5,600 ","4505 E Belmont Ave Fresno, CA 93702",(559) 456-2987,GAVINO AUTO SALES,"$5,500 ","3165 E Imperial Hwy Lynwood, CA 90262",(310) 635-7000,,,,
21,2003,SAAB 9-3 ARC,YS3FD49Y531034148,134245,,,,,,,,,MBZ 4 LESS,"$1,500 ","18649 Beach Blvd Huntington Beach, CA 92648",(714) 916-0570
22,2007,INFINITI G35 4X2,JNKBV61E67M728298,82867,,,,,,,,,CARMAX # 7195,"$11,000 ","9501 Research Dr Irvine, CA 92618",(949) 341-0801
23,2011,FORD FLEX FWD LIMITED,2FMGK5DC7BBD06779,65302,,,,,,,,,PREMIER AUTO SALES,"$16,500 ","11601 Whittier Blvd Whittier, CA 90601",(562) 695-1234
24,2005,GMC YUKON 4X2 V8 SLT,1GKEC13T55R244923,93439,,,,,CAMACHO AUTO SALES INC,"$8,900 ","44446 N Sierra Hwy,Lancaster, CA 93534",(661) 945-2609,,,,
25,2008,HONDA CR-V 4X4 EX,JHLRE485X8C000844,115747,,,,,,,,,LA PLAYITA AUTO SALES INC,"$9,000 ","2955 E Firestone Blvd South Gate, CA 90280",(323) 566-4846
26,2007,CHEVROLET 1500 SLV 4X2 EX LT W/1LT,1GCEC19077Z520966,134042,MARTINEZ USED CARS,"$10,750 ","314 Lander Ave Turlock, CA 95380",(209) 634-4496,MAGIC AUTO CENTER OF RESEDA,"$11,000 ","6360 Reseda Blvd Tarzana, CA 91335",(818) 881-6999,,,,
27,2010,CHEVROLET EQUINOX FWD 4C,2CNALDEW5A6218407,124089,,,,,J J WHOLESALE,"$7,750 ","5909 Whittier BlvdLos Angeles, CA 90022",(323) 346-0254,,,,
28,2008,CHEVROLET 1500 SLV 4X2 EX LT W/1LT,1GCEC19058Z220960,92582,BALLERS,"$12,000 ","700 S La Brea Inglewood, CA 90301",(424) 732-8504,CAMACHO AUTO SALES INC,"$13,100 ","44446 N Sierra Hwy,Lancaster, CA 93534",(661) 945-2609,,,,
,,,,,GRAND AUTOLAND,"$12,500 ","515 Oceanside Blvd. Oceanside, CA 92054",(760) 231-8899,,,,,,,,
,,,,,WEST SIDE AUTO SALES & LEASING,"$13,000 ",N/A,N/A,,,,,,,,
29,2008,JEEP COMANDER 4X4 V8 SPORT,1J8HG48N58C202762,101785,,,,,,,,,DRIVETIME,"$9,400 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630
30,2010,SUBARU LEGACY 4C LIMITED,4S3BMBK61A3229359,82083,ULTIMATE AUTO SALES OF OREM LLC,"$10,750 ","1079 N State St, Orem, UT 84057
",888-264-2078,PUENTE HILLS SUBARU,"$11,000 ","17801 E Gale Ave City Of Industry, CA 91748",(888) 450-8814,,,,
31,2003,CHEVROLET 1500 SLV 4X2 EX LS,2GCEC19VX31139837,87957,,,,,ARLETA AUTO CENTER LLC,"$11,000 ","14001 Van Nuys Blvd Arleta, CA 91331",(818) 890-7557,,,,
32,2003,GMC SIERA 25 4X4 CR SLE,1GTHK23123F243663,132875,,,,,TRUCK CITY MOTORS,"$12,500 ",Not applicable,Not applicable,,,,
33,2007,JEEP CHEROKEE 4X2 V6 LAREDO,1J8GS48K77C584114,122504,,,,,DRIVETIME,"$7,000 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
34,2009,MAZDA MAZDASPEED3 GT,JM1BK34M391240555,102185,ROLLING MOTORS,"$7,500 ","611 El Camino Real San Bruno, CA 94066",(650) 491-0028,,,,,ROLLING MOTORS,"$7,500 ","611 El Camino Real San Bruno, CA 94066",(650) 491-0028
,,,,,SAN DIEGO AUTO CLUB,"$7,250 ","2910 Central Ave, Spring Valley, CA 91977",(619) 698-2255,,,,,,,,
35,2005,JEEP LIBERTY 4X2 V6 LIMITED,1J4GK58K75W633265,127907,PRESTIGE AUTOS,"$2,900 ","2683 Wardlow Rd Corona, CA 92882",(951) 403-6500,LONG BEACH AUTO,"$3,000 ","5313 E 2nd St Long Beach, CA 90803
",(562) 438-1572,,,,
36,2007,NISSAN ALTIMA 4C 2.5 SL,1N4AL21E57N404254,114267,,,,,CARMAX # 7195,"$6,200 ","9501 Research Dr Irvine, CA 92618",(949) 341-0801,,,,
37,2012,HYUNDAI SONATA HYBRID,KMHEC4A44CA027685,79658,PRESTIGE AUTOS,"$10,750 ","2683 Wardlow Rd Corona, CA 92882",(951) 403-6500,,,,,,,,
