S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2004,HYUNDAI SONATA V6,136287,KMHWF35H14A021427,,,,,GEHRINGER AUTOMOTIVE,"$1,300 ","321 S Highland Ave Fullerton, CA 92832",(714) 441-1649,,,,
2,2006,TOYOTA TACOMA 4X2 EX,140559,5TETX22N66Z198282,,,,,JOSE AUTO SALES INC,"$10,000 ","1616 S Vermont Ave, Los Angeles, CA 90006",323) 766-9704,,,,
3,2015,KIA FORTE EX,16274,KNAFX4A8XF5269021,,,,,,,,,HYUNDAI OF ESCONDIDO,"$11,500 ","1919 Auto Park Way Escondido, CA 92029",(760) 294-2300
4,2013,DODGE CHARGER 4X2 V6 SE,33691,2C3CDXBG5DH516509,,,,,EXTREME MOTORS,"$15,250 ","7918 Raytheon Rd San Diego, CA 92111",(858) 531-7781,,,,
5,2013,FORD MUSTANG V8 CPE GT,16306,1ZVBP8CF4D5284757,,,,,WESTERN MOTORS/AIDE RENT A CAR,"$23,000 ",N/A,N/A,,,,
6,2006,SCION XB,127215,JTLKT324364089182,PRIME TIME AUTO SALES INC,"$3,300 ",NOT MENTIONED,(909) 559-4053,PRIME TIME AUTO SALES INC,"$3,300 ",NOT MENTIONED,(909) 559-4053,,,,
7,2007,CHEVROLET TAHOE 4X2 V8,129036,1GNFC13J67R127506,,,,,,,,,EXQUISITE CAR SALES,"$10,000 ","1221 N Harbor Blvd Anaheim, CA 92801",(866) 343-8823
8,2009,JAGUAR XF S/C SUPERCHAR,57397,SAJWA07C091R32134,CAMEX AUTO SALE,"$11,250 ",Not applicable,Not applicable,,,,,,,,
,,,,,FIUZA MOTORS LLC,"$11,500 ","8200 S State St Midvale, UT 84047",(801) 878-9200,,,,,,,,
9,2013,BMW M3 CNV,27435,WBSDX9C56DE785585,FREEMAN MOTOR COMPANY INC,"$37,500 ",not applicable,not applicable,,,,,,,,
10,2012,JEEP CHEROKEE 4X4 V8,93433,1C4RJFCT9CC246657,TED MILES MOTORS,"$20,000 ","7380 Camino Real Atascadero, CA 93422",805-466-2411,TED MILES MOTORS,"$20,000 ","7380 Camino Real Atascadero, CA 93422",805-466-2411,,,,
,,,,,FIUZA MOTORS LLC,"$19,750 ","8200 S State St Midvale, UT 84047",(801) 878-9200,,,,,,,,
11,2010,MASERATI QUATTROPORTE SPORT GT S,44888,ZAM39KKA2A0049847,EMPIRE EXOTIC MOTORCARS,"$35,000 ","15001 E Beltwood Pkwy Addison, TX 75001",(214) 436-6161,,,,,GLOBAL EUROPEAN MOTORCARS LLC,"$37,000 ","1655 E 6th St Ste B2 Corona, CA 92879",(951) 279-1700
,,,,,METROLINA AUTO GROUP LLC,"$36,500 ","6010 Kenley Ln Charlotte, NC 28217",(704) 705-2570,,,,,,,,
,,,,,GLOBAL EUROPEAN MOTORCARS LLC,"$37,000 ","1655 E 6th St Ste B2 Corona, CA 92879",(951) 279-1700,,,,,,,,
12,2011,NISSAN SENTRA 2.0 S,95140,3N1AB6AP2BL651734,,,,,605 AUTO INC,"$6,750 ","10425 Alondra Blvd Bellflower, CA 90706",(562) 461-7400,,,,
13,2013,HONDA CR-V FWD LX,85284,5J6RM3H37DL026864,,,,,WESTERN MOTORS/AIDE RENT A CAR,"$12,500 ",N/A,N/A,,,,
14,2003,TOYOTA HIGHLNDR FWD V6 LIMITED,143322,JTEGF21AX30074493,,,,,,,,,GIO AUTO SALES,"$4,700 ","12295 Lebanon Rd Mount Juliet, TN 37122",(615) 758-2934
15,2008,HONDA CR-V FWD EX-L,92721,5J6RE38728L009766,DRIVETIME,"$10,500 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,ARLETA AUTO CENTER LLC,"$11,500 ","14001 Van Nuys Blvd Arleta, CA 91331",(818) 890-7557,,,,
16,2006,CHRYSLER 300 4X2 V8 C,72310,2C3KA63H36H248262,DRIVETIME,"$7,300 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,,,,,
17,2013,TOYOTA PRIUS,98493,JTDKN3DUXD5564692,AUTONATION DIRECT,"$12,000 ","200 SW 1st Avenue Fort Lauderdale, FL 33301",(877) 600-3011,AUTONATION DIRECT,"$12,000 ","200 SW 1st Avenue Fort Lauderdale, FL 33301",(877) 600-3011,,,,
18,2014,KIA OPTIMA EX,40109,5XXGN4A73EG302231,,,,,,,,,PARADISE AUTOMOTIVE GROUP INC,"$13,500 ","32592 Valle Rd San Juan Capistrano, CA 92675",(949) 347-2522
19,2005,DODGE RAM 2500 4X4 6C SLT,146778,3D7KS28C95G770431,,,,,OC AUTOS,"$17,750 ","707 N Harbor Blvd Santa Ana, CA 92703",(714) 265-2600,,,,
20,2007,FORD EXPLORER 4X2 V6 ED BAUER,83587,1FMEU64E77UB19603,,,,,CAR STAR MOTORS,"$8,100 ","12460 Victory Blvd North Hollywood, CA 91606",(818) 781-5333,,,,
21,2011,RAM 1500 4X2 V8,112086,1D7RB1GP9BS519880,,,,,VERAXS CORP,10750,"7594 Indiana Ave, Riverside, CA 92504",(951) 352-1400,,,,
