S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2015,CHEVROLET CAMARO V8 SS,39887,2G1FK3DJ0F9103046,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$22,500 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,,,,,,,,
2,2014,HYUNDAI SONATA GLS,40979,5NPEB4AC0EH858739,,,,,WESTERN MOTORS/AIDE RENT A CAR,"$11,300 ",N/A,N/A,,,,
3,2014,NISSAN ALTIMA 4C S,42889,1N4AL3AP8EN335287,,,,,WESTERN MOTORS/AIDE RENT A CAR,"$12,800 ",N/A,N/A,,,,
4,2015,VOLVO XC60 FWD 4C T5-E PREMR,37615,YV426MDB2F2590612,,,,,VIZA AUTO,"$25,000 ",N/A,N/A,,,,
5,2015,HYUNDAI SONATA 2.4L SE,42281,5NPE24AF3FH007479,,,,,WESTERN MOTORS/AIDE RENT A CAR,"$12,100 ",N/A,N/A,,,,
6,2015,HYUNDAI SONATA 2.4L SE,43419,5NPE24AF6FH003846,,,,,WESTERN MOTORS/AIDE RENT A CAR,"$12,100 ",N/A,N/A,,,,
7,2014,HYUNDAI ELANTRA SE,40167,5NPDH4AE6EH524694,PREMIER HYUNDAI OF OAKLAND,"$10,000 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,PREMIER HYUNDAI OF OAKLAND,"$10,000 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,,,,
8,2014,KIA FORTE LX,39519,KNAFX4A67E5205273,,,,,WESTERN MOTORS/AIDE RENT A CAR,"$9,400 ",N/A,N/A,,,,
9,2014,HYUNDAI SONATA GLS,37743,5NPEB4AC6EH933766,,,,,WESTERN MOTORS/AIDE RENT A CAR,"$11,700 ",N/A,N/A,,,,
10,2014,BMW 328I 328I,38050,WBA3C1C53EK109658,,,,,BLUE DIAMOND AUTO SALE,"$22,000 ","2130 Mitchell Rd Ceres, CA 95307",(209) 538-2886,,,,
11,2014,HYUNDAI SONATA GLS,42951,5NPEB4AC0EH938302,PREMIER HYUNDAI OF OAKLAND,"$11,300 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,PREMIER HYUNDAI OF OAKLAND,"$11,300 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,,,,
12,2014,HYUNDAI SONATA GLS,39893,5NPEB4AC8EH939763,PREMIER HYUNDAI OF OAKLAND,"$11,300 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,PREMIER HYUNDAI OF OAKLAND,"$11,300 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,,,,
13,2014,JEEP COMPASS 4X4 4C SPORT,35117,1C4NJDBBXED727378,,,,,WESTERN MOTORS/AIDE RENT A CAR,"$13,900 ",N/A,N/A,,,,
